sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,element_match,extracted_degree,reference_degree,degree_match,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning
BTK_C481_6DI9,0,C,C2,0,C,true,3,3,true,9,scaffold,false,medium,
BTK_C481_6DI9,1,C,C3,1,C,true,3,3,true,10,scaffold,false,medium,
BTK_C481_6DI9,2,C,C9,2,C,true,3,3,true,11,scaffold,false,medium,
BTK_C481_6DI9,3,C,C10,3,C,true,2,3,false,12,scaffold,false,low,
BTK_C481_6DI9,4,C,C11,4,C,true,2,3,false,13,scaffold,false,low,
BTK_C481_6DI9,5,C,C12,5,C,true,3,3,true,14,scaffold,false,medium,
BTK_C481_6DI9,6,C,C13,6,C,true,2,3,false,13,scaffold,false,low,
BTK_C481_6DI9,7,C,C14,7,C,true,2,3,false,12,scaffold,false,low,
BTK_C481_6DI9,8,C,C15,8,C,true,3,3,true,15,scaffold,false,medium,
BTK_C481_6DI9,9,O,O17,9,O,true,1,1,true,16,scaffold,false,medium,
BTK_C481_6DI9,10,C,C19,10,C,true,1,4,false,18,scaffold,false,low,
BTK_C481_6DI9,11,C,C20,11,C,true,1,4,false,18,scaffold,false,low,
BTK_C481_6DI9,12,C,C21,12,C,true,1,4,false,18,scaffold,false,low,
BTK_C481_6DI9,13,C,C22,13,C,true,2,4,false,6,linker,false,low,
BTK_C481_6DI9,14,C,C24,14,C,true,3,4,false,4,linker,false,low,
BTK_C481_6DI9,15,N,N26,15,N,true,2,3,false,3,linker,false,low,
BTK_C481_6DI9,16,C,C27,16,C,true,3,3,true,11,scaffold,false,medium,
BTK_C481_6DI9,17,C,C30,17,C,true,3,3,true,2,warhead,false,medium,
BTK_C481_6DI9,18,C,C32,18,C,true,2,3,false,1,warhead,false,low,
BTK_C481_6DI9,19,C,C33,19,C,true,1,3,false,0,warhead,true,high,
BTK_C481_6DI9,20,N,N1,20,N,true,2,2,true,8,scaffold,false,medium,
BTK_C481_6DI9,21,C,C4,21,C,true,2,3,false,9,scaffold,false,low,
BTK_C481_6DI9,22,C,C5,22,C,true,2,3,false,8,scaffold,false,low,
BTK_C481_6DI9,23,C,C6,23,C,true,3,3,true,7,linker,false,medium,
BTK_C481_6DI9,24,N,N7,24,N,true,3,3,true,6,linker,false,medium,
BTK_C481_6DI9,25,N,N8,25,N,true,2,3,false,10,scaffold,false,low,
BTK_C481_6DI9,26,N,N16,26,N,true,2,3,false,16,scaffold,false,low,
BTK_C481_6DI9,27,C,C18,27,C,true,4,4,true,17,scaffold,false,medium,
BTK_C481_6DI9,28,C,C23,28,C,true,2,4,false,5,linker,false,low,
BTK_C481_6DI9,29,C,C25,29,C,true,2,4,false,5,linker,false,low,
BTK_C481_6DI9,30,N,N28,30,N,true,1,3,false,12,scaffold,false,low,
BTK_C481_6DI9,31,O,O29,31,O,true,1,1,true,12,scaffold,false,medium,
BTK_C481_6DI9,32,O,O31,32,O,true,1,1,true,3,warhead,false,medium,
