sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning,manual_reference_atom_id,manual_decision,manual_note
BTK_C481_6DI9,0,C,C2,0,C,9,scaffold,false,medium,,,,
BTK_C481_6DI9,1,C,C3,1,C,10,scaffold,false,medium,,,,
BTK_C481_6DI9,2,C,C9,2,C,11,scaffold,false,medium,,,,
BTK_C481_6DI9,3,C,C10,3,C,12,scaffold,false,low,,,,
BTK_C481_6DI9,4,C,C11,4,C,13,scaffold,false,low,,,,
BTK_C481_6DI9,5,C,C12,5,C,14,scaffold,false,medium,,,,
BTK_C481_6DI9,6,C,C13,6,C,13,scaffold,false,low,,,,
BTK_C481_6DI9,7,C,C14,7,C,12,scaffold,false,low,,,,
BTK_C481_6DI9,8,C,C15,8,C,15,scaffold,false,medium,,,,
BTK_C481_6DI9,9,O,O17,9,O,16,scaffold,false,medium,,,,
BTK_C481_6DI9,10,C,C19,10,C,18,scaffold,false,low,,,,
BTK_C481_6DI9,11,C,C20,11,C,18,scaffold,false,low,,,,
BTK_C481_6DI9,12,C,C21,12,C,18,scaffold,false,low,,,,
BTK_C481_6DI9,13,C,C22,13,C,6,linker,false,low,,,,
BTK_C481_6DI9,14,C,C24,14,C,4,linker,false,low,,,,
BTK_C481_6DI9,15,N,N26,15,N,3,linker,false,low,,,,
BTK_C481_6DI9,16,C,C27,16,C,11,scaffold,false,medium,,,,
BTK_C481_6DI9,17,C,C30,17,C,2,warhead,false,medium,,,,
BTK_C481_6DI9,18,C,C32,18,C,1,warhead,false,low,,,,
BTK_C481_6DI9,20,N,N1,20,N,8,scaffold,false,medium,,,,
BTK_C481_6DI9,21,C,C4,21,C,9,scaffold,false,low,,,,
BTK_C481_6DI9,22,C,C5,22,C,8,scaffold,false,low,,,,
BTK_C481_6DI9,23,C,C6,23,C,7,linker,false,medium,,,,
BTK_C481_6DI9,24,N,N7,24,N,6,linker,false,medium,,,,
BTK_C481_6DI9,25,N,N8,25,N,10,scaffold,false,low,,,,
BTK_C481_6DI9,26,N,N16,26,N,16,scaffold,false,low,,,,
BTK_C481_6DI9,27,C,C18,27,C,17,scaffold,false,medium,,,,
BTK_C481_6DI9,28,C,C23,28,C,5,linker,false,low,,,,
BTK_C481_6DI9,29,C,C25,29,C,5,linker,false,low,,,,
BTK_C481_6DI9,30,N,N28,30,N,12,scaffold,false,low,,,,
BTK_C481_6DI9,31,O,O29,31,O,12,scaffold,false,medium,,,,
BTK_C481_6DI9,32,O,O31,32,O,3,warhead,false,medium,,,,
