row_type,mask_level,expected_reactive_atom_region,device,cuda_available,requested_device,resolved_device,cuda_device_count,cuda_device_name,torch_version,step12i_filtered_feature_semantics_audit_validated,step12b_mask_level_aware_validator_validated,filtered_batch_constructed,filtered_batch_on_cuda,checkpoint_compatible_batch_constructed_after_filter,ligand_feature_dim,pocket_feature_dim,ligand_one_hot_row_sums_valid_after_filter,pocket_one_hot_row_sums_valid_after_filter,ligand_unknown_atom_count_after_filter,pocket_unknown_atom_count_after_filter,ligand_masks_unchanged_after_filter,ligand_reactive_atom_region_preserved,no_synthetic_fallback_used,production_filter_helper_used,model_forward_called,model_forward_call_count_for_level,loss_compute_called,loss_compute_call_count_for_level,selected_loss_key,selected_loss_value,selected_loss_finite,selected_loss_requires_grad,selected_loss_device,filtered_pocket_atom_count,filtered_pocket_atom_numbers,target_atom_count,context_atom_count,aggregate_loss_reduction,aggregate_loss_value,aggregate_loss_finite,aggregate_loss_requires_grad,aggregate_loss_device,backward_called,backward_call_count,backward_success,trainable_parameter_count,parameters_with_grad_count,parameters_with_nonzero_grad_count,finite_nonzero_gradients,total_grad_norm,max_abs_grad,grad_nan_count,grad_inf_count,optimizer_created,optimizer_step_called,real_covalent_filtered_cuda_forward_backward_smoke_passed,real_covalent_filtered_backward_contract_proven,real_covalent_filtered_single_optimizer_step_smoke_allowed,recommended_next_step,status,blocking_reasons
step12i_precondition,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
cuda_readiness,,,,True,cuda,cuda:0,1,NVIDIA A100-SXM4-80GB,2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,A_warhead_only,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,272.3487854003906,True,True,cuda:0,1,[12],8,55,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,B_linker_warhead,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,129.7129364013672,True,True,cuda:0,1,[12],19,44,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,B2_scaffold_warhead,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,210.26832580566406,True,True,cuda:0,1,[12],52,11,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,B3_scaffold_only,context,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,142.18350219726562,True,True,cuda:0,1,[12],44,19,,,,,,,,,,,,,,,,,,,,,,,passed,[]
mask_level_filtered_cuda_forward_loss,C_scaffold_linker_warhead,target,cuda:0,,,,,,,,,True,True,True,10,10,True,True,0,0,True,True,True,True,True,1,True,1,masked_loss_total_dry,184.5579833984375,True,True,cuda:0,1,[12],63,0,,,,,,,,,,,,,,,,,,,,,,,passed,[]
aggregate_backward,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,187.81431579589844,True,True,cuda:0,True,1,True,,,,,,,,,,,,,,,passed,[]
gradient_summary,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005418,111,111,True,2652.0065879682074,441.4884033203125,0,0,False,False,,,,,passed,[]
decision,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,real_covalent_filtered_single_optimizer_step_smoke,passed,[]
