safety_item,expected_executed,observed_executed,safety_passed
adapter_contract_design,true,true,true
context_routing_design,true,true,true
candidate_projection_design,true,true,true
standalone_source_validation_design,true,true,true
exact10_oracle_equality_design,true,true,true
exact10_to_exact13_projection_design,true,true,true
future_identity_contract,true,true,true
deterministic_materialization,true,true,true
source_verification,true,true,true
issue_byte_preservation,true,true,true
actual_adapter_handler,false,false,true
registry_modification,false,false,true
exact9_runtime,false,false,true
provider_mapping,false,false,true
provider_key_generation,false,false,true
real_candidate_evaluation,false,false,true
admit_011,false,false,true
evaluate_all_rules,false,false,true
combined_verdict,false,false,true
raw_read,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward,false,false,true
model_loss,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
gh,false,false,true
