contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,admission_rule_id,ADMIT_010,frozen
2,CONTRACT_002,identity,admission_rule_name,leakage_group_assignment_before_split,frozen
3,CONTRACT_003,identity,adapter_id,covapie_admit_010_unified_adapter_v1,frozen
4,CONTRACT_004,identity,candidate_field,leakage_group_id,frozen
5,CONTRACT_005,identity,evaluation_context_item,leakage_group_assignment_provenance_contract,frozen
6,CONTRACT_006,identity,formal_evaluator,evaluate_admit_010,frozen
7,CONTRACT_007,identity,formal_result_type,Admit010EvaluationResult,frozen
8,CONTRACT_008,identity,design_oracle,classify_admit_010_leakage_group_assignment_provenance_design,frozen
9,CONTRACT_009,identity,unified_schema,covapie_unified_admission_rule_evaluation_v1,frozen
10,CONTRACT_010,runtime_reuse,public_result_type,UnifiedAdmissionRuleEvaluation_exact9_object_identity,frozen
11,CONTRACT_011,runtime_reuse,public_error_type,UnifiedAdmissionDispatchError_exact9_object_identity,frozen
12,CONTRACT_012,runtime_reuse,public_constants,RESULT_SCHEMA_VERSION|RESULT_FIELDS|DISPATCH_ERROR_FIELDS|DISPATCH_ERROR_CODES|OUTCOME_VOCABULARY_exact9_object_identity,frozen
13,CONTRACT_013,runtime_reuse,known_rule_ids,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,frozen
14,CONTRACT_014,runtime_reuse,public_dispatch_signature,exactly_equal_to_current_exact9,frozen
15,CONTRACT_015,successor,dispatcher_identity,new_function_object_not_current_exact9_dispatcher,frozen
16,CONTRACT_016,successor,dispatcher_registry_binding,successor_local_immutable_exact10_registry,frozen
17,CONTRACT_017,successor,current_registry,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009,frozen
18,CONTRACT_018,successor,future_registry,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010,frozen
19,CONTRACT_019,successor,first_nine_handlers,9_of_9_current_exact9_object_identity,frozen
20,CONTRACT_020,successor,only_new_handler,_evaluate_registered_admit_010,frozen
21,CONTRACT_021,successor,known_not_registered,ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,frozen
22,CONTRACT_022,routing,precedence,batch_context_must_be_none|evaluation_context_mapping_validation|leakage_group_assignment_provenance_contract_required_key_lookup|download_result_context_must_be_none|stage_authorization_context_must_be_none|candidate_record_mapping_validation|leakage_group_id_required_key_lookup|formal_evaluator|source_validation|independent_oracle|full_exact10_equality|exact13_projection,frozen
23,CONTRACT_023,routing,batch,exact_none,frozen
24,CONTRACT_024,routing,evaluation,isinstance_collections.abc.Mapping,frozen
25,CONTRACT_025,routing,evaluation_lookup,single_direct_getitem_KeyError_only_missing,frozen
26,CONTRACT_026,routing,download,exact_none,frozen
27,CONTRACT_027,routing,stage,exact_none,frozen
28,CONTRACT_028,routing,context_before_candidate,all_context_checks_complete_before_candidate_access,frozen
29,CONTRACT_029,mapping,copy,none,frozen
30,CONTRACT_030,mapping,iteration,none,frozen
31,CONTRACT_031,mapping,mutation,none,frozen
32,CONTRACT_032,mapping,extra_keys,ignored,frozen
33,CONTRACT_033,mapping,present_none,present_not_missing,frozen
34,CONTRACT_034,mapping,non_key_error,propagates_unchanged,frozen
35,CONTRACT_035,candidate,mapping_invalid,ADMIT_010_CANDIDATE_RECORD_MAPPING_INVALID,frozen
36,CONTRACT_036,candidate,required_key_absent,leakage_group_id_missing,frozen
37,CONTRACT_037,candidate,invalid_calls,formal_0|oracle_0,frozen
38,CONTRACT_038,candidate,invalid_consumed_candidate,leakage_group_id,frozen
39,CONTRACT_039,candidate,invalid_consumed_context,leakage_group_assignment_provenance_contract,frozen
40,CONTRACT_040,candidate,present_values,forward_original_object_without_prevalidation,frozen
41,CONTRACT_041,call,formal,exactly_once_positional_scalar_then_provenance,frozen
42,CONTRACT_042,call,formal_identity,same_two_original_objects,frozen
43,CONTRACT_043,source,exact_type,type_source_is_Admit010EvaluationResult_subclass_rejected,frozen
44,CONTRACT_044,source,storage,vars_exact_builtin_dict_exact10_order,frozen
45,CONTRACT_045,source,dataclass,exact10_field_order,frozen
46,CONTRACT_046,source,reads,all_exact10_fields_in_order,frozen
47,CONTRACT_047,source,reconstruction,committed_type_post_init_and_full_equality,frozen
48,CONTRACT_048,source,failure,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|adapter_ready_false|oracle_0|no_partial_exact13,frozen
49,CONTRACT_049,oracle,call,exactly_once_after_source_validation_same_two_objects,frozen
50,CONTRACT_050,oracle,result,Mapping_required,frozen
51,CONTRACT_051,oracle,expected,complete_committed_Admit010EvaluationResult,frozen
52,CONTRACT_052,oracle,comparison,full_exact10_equality,frozen
53,CONTRACT_053,projection,fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
54,CONTRACT_054,projection,normalized_values,source.validated_candidate_fields,frozen
55,CONTRACT_055,projection,consumed_context,source.consumed_context_items_no_envelope_injection,frozen
56,CONTRACT_056,projection,adapter_id,covapie_admit_010_unified_adapter_v1,frozen
57,CONTRACT_057,issues,inventory,Exact11_byte_identical_SHA256_779932531b630072ff33721e689a2865defdad477df8335a9950c8e4537476bd,frozen
58,CONTRACT_058,issues,coverage,open_ADMIT_010_through_ADMIT_015_unchanged,frozen
59,CONTRACT_059,provider,mapping,unvalidated_zero_real_provider_ids,frozen
60,CONTRACT_060,boundary,runtime,design_only_no_handler_registry_dispatcher_or_registration,frozen
61,CONTRACT_061,boundary,operations,no_provider_grouping_split_reassignment_raw_network_download_training,frozen
62,CONTRACT_062,training,prerequisite,feature_semantics_audit_required_Step12D_smoke_only,frozen
