safety_item,expected_executed,observed_executed,safety_passed
admit010_adapter_runtime,true,true,true
registry_registration,true,true,true
exact10_dispatcher,true,true,true
source_validation,true,true,true
oracle_parity,true,true,true
exact13_projection,true,true,true
issue_coverage_transition,true,true,true
deterministic_materialization,true,true,true
source_verification,true,true,true
provider_mapping,false,false,true
real_provider_export,false,false,true
admit011,false,false,true
evaluate_all_rules,false,false,true
combined_verdict,false,false,true
raw_network_download,false,false,true
split_reassignment,false,false,true
checkpoint,false,false,true
model_forward_loss,false,false,true
training_fine_tune,false,false,true
stage_commit_push_gh,false,false,true
