context_item,context_scope,required_by_rules,provided_by_future_caller,filesystem_access_inside_evaluator,network_access_inside_evaluator,deterministic_now,deterministic_after_contract_freeze,exact_contract_defined,implementation_ready,blocking_reasons
batch_candidate_record_ids,batch,ADMIT_001,true,false,false,true,true,true,true,
batch_duplicate_identity_keys,batch,ADMIT_009,true,false,false,true,true,true,true,
candidate_record_id_contract,evaluation_policy,ADMIT_001,true,false,false,false,true,false,false,CANDIDATE_RECORD_ID_SEMANTICS_UNRESOLVED
pdb_id_format_contract,evaluation_policy,ADMIT_002,true,false,false,false,true,false,false,PDB_ID_FORMAT_SEMANTICS_UNRESOLVED
ligand_comp_id_contract,evaluation_policy,ADMIT_003,true,false,false,false,true,false,false,LIGAND_COMP_ID_SEMANTICS_UNRESOLVED
covalent_residue_identity_contract,evaluation_policy,ADMIT_004,true,false,false,false,true,false,false,COVALENT_RESIDUE_IDENTITY_SEMANTICS_UNRESOLVED
allowed_covalent_evidence_classes,evaluation_policy,ADMIT_006|ADMIT_007,true,false,false,false,true,false,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED
allowed_topology_restoration_dispositions,evaluation_policy,ADMIT_008,true,false,false,false,true,false,false,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED
duplicate_identity_key_contract,evaluation_policy,ADMIT_009,true,false,false,false,true,false,false,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED
leakage_group_assignment_provenance_contract,evaluation_policy,ADMIT_010,true,false,false,false,true,false,false,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED
existing_raw_target_relative_paths,batch_external_state_snapshot,ADMIT_011,true,false,false,true,true,true,true,
raw_target_relative_path_contract,evaluation_policy,ADMIT_011,true,false,false,false,true,false,false,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED
allowed_download_result_statuses,evaluation_policy,ADMIT_012|ADMIT_013,true,false,false,false,true,false,false,DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED
successful_http_status_contract,evaluation_policy,ADMIT_012|ADMIT_013,true,false,false,false,true,false,false,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED
content_length_contract,evaluation_policy,ADMIT_012|ADMIT_013,true,false,false,false,true,false,false,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED
sha256_format_contract,evaluation_policy,ADMIT_012|ADMIT_013,true,false,false,false,true,false,false,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED
current_stage_download_authorized,stage,ADMIT_014,true,false,false,true,true,true,true,
current_stage_training_authorized,stage,ADMIT_015,true,false,false,true,true,true,true,
