safety_item,required_status,observed_status,safety_passed,blocking_reason
network_access_used_current_step,false,false,true,
external_registry_lookup_current_step,false,false,true,
ignored_raw_directory_traversed_current_step,false,false,true,
ignored_raw_structure_read_current_step,false,false,true,
checkpoint_read_current_step,false,false,true,
artifact_reference_paths_followed_current_step,false,false,true,
d2_source_files_modified_current_step,false,false,true,
p2_source_files_modified_current_step,false,false,true,
parser_modified_current_step,false,false,true,
sample_index_producer_modified_current_step,false,false,true,
candidate_provider_implemented_current_step,false,false,true,
candidate_records_materialized_current_step,false,false,true,
download_queue_materialized_current_step,false,false,true,
raw_files_written_current_step,false,false,true,
torch_imported,false,false,true,
numpy_imported,false,false,true,
rdkit_used,false,false,true,
model_forward_called,false,false,true,
loss_compute_called,false,false,true,
training_allowed,false,false,true,
