source_role,source_path,source_sha256,committed_in_base,source_kind,selector_or_symbol,referenced_atom_row_count,referenced_sample_count,verified
checkpoint_training_config,configs/crossdock_fullatom_cond.yml,41428bcb548c4dc541f945ef4e52f8830fb1c64dd149fbce86aae98d73fcf519,true,yaml,"crossdock/processed_crossdock_noH_full/full-atom/[1,4]",0,0,true
categorical_vocabulary_authority,constants.py,dba13f16d831d48d1b9bb1b427207d0603a48c8687273d68ee7b599fe57afec9,true,python,dataset_params crossdock and crossdock_full,0,0,true
atom_pair_mapping_validation_matrix,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,true,csv,22 exact-one mappings,22,11,true
atom_pair_and_canonical_mask_authority,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_manifest.json,229f5430feb3b5c147edce6c80dce684703b614e3764c7c18afd8344c25c3152,true,json,Exact5 masks and pair boundary,0,11,true
final_dataset_index,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,true,csv,11 canonical samples,0,11,true
feature_audit_issue_inventory,data/derived/covalent_small/covapie_final_training_feature_semantics_and_unknown_atom_policy_audit_v1/covapie_feature_semantics_issue_readiness_inventory.csv,38469f4d1fff515b47d47463bd085844e64109aed3875723710776e4f36c7128,true,csv,Exact32 rows,0,0,true
feature_audit_manifest,data/derived/covalent_small/covapie_final_training_feature_semantics_and_unknown_atom_policy_audit_v1/covapie_final_training_feature_semantics_and_unknown_atom_policy_audit_manifest.json,8e9aa9e853556715f1f6920b6bb80c1aa0ab22344b4118ba63f988d0ae659dbe,true,json,readiness contract,0,0,true
feature_semantics_registry,data/derived/covalent_small/covapie_final_training_feature_semantics_and_unknown_atom_policy_audit_v1/covapie_training_feature_semantics_registry.csv,820e0abaa8dad761d66950ee85b3ba0f0078448ca33180c29c9238572a91995f,true,csv,current feature lineage,0,0,true
unknown_policy_audit_matrix,data/derived/covalent_small/covapie_final_training_feature_semantics_and_unknown_atom_policy_audit_v1/covapie_unknown_atom_policy_audit_matrix.csv,f6aeeb1528563429652a4ab8441d785547b0a44385c628448c04e18a99b4c5bd,true,csv,observed policy gaps,0,0,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_atom_table.csv,02f4f7157da8318076290de0b36d21c2e40233e45e315264a67209dd2b4dc0cf,true,csv,explicit type_symbol and source row order,33,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/pocket_atom_table.csv,e61676d8f9c67730ea2b38ff7951665d7d7dbe2a6e288621c854f8497883cb97,true,csv,explicit type_symbol and source row order,265,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_atom_table.csv,a813b57350cfd2bfae664c7b0d7d92a0d5359b8b1274d39eae0a97a76f61bdfa,true,csv,explicit type_symbol and source row order,31,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/pocket_atom_table.csv,e5faa522a02499b47bdc7b3d1bb5cf4d948f343027ce8bd9f897abda8ede2aad,true,csv,explicit type_symbol and source row order,231,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_atom_table.csv,90c70d05a0a9c1026c90a6c85b9e1989afa8c51671fe084cbb7f063b9427616a,true,csv,explicit type_symbol and source row order,43,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/pocket_atom_table.csv,a025544e56c94b95993800cf30877e9171d798b8d58835ca6090ae7fc4365a98,true,csv,explicit type_symbol and source row order,278,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_atom_table.csv,d6f3a76db2a5448141403007708682ed2278b6bd1137b3be65a95ea615912665,true,csv,explicit type_symbol and source row order,42,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/pocket_atom_table.csv,16e16364e689fda2d06a84a3ac794bb46d27938de991b968fa28b6da0a7f303f,true,csv,explicit type_symbol and source row order,267,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_atom_table.csv,3ea203e5ee078792c31edc83074629ba29dda72f6c4f7d90b0aad1246673e399,true,csv,explicit type_symbol and source row order,42,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/pocket_atom_table.csv,82f2b7e0603d6c7fd07c54a45fd91b0b643932e78f56e10ba2627effd7e69a8a,true,csv,explicit type_symbol and source row order,257,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_atom_table.csv,dfdaa3d37f81a79e51fee9e24434eca353ce922bda0c927fedb053566276bf49,true,csv,explicit type_symbol and source row order,43,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/pocket_atom_table.csv,905e15f4f66cee2c177945c89d3cc53084224e69361fc29968d0b607f7c1ba71,true,csv,explicit type_symbol and source row order,249,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_atom_table.csv,f8f3a1b5b9143b797acc18724e83be2fb0b89876b66081a584e908b83ed0a67c,true,csv,explicit type_symbol and source row order,40,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/pocket_atom_table.csv,2e5049958a9ebe29a8905c2d6e8b7a24bca4bbdbd742e13f9156319fb42b4ec8,true,csv,explicit type_symbol and source row order,261,1,true
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/ligand_atom_table.csv,f33a8ebf2edda9cb63e2f81d10812f549bf57858e6ae2ffcbde6282a49c35e9e,true,csv,explicit type_symbol and source row order,21,1,true
pocket_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1B02_UFP/pocket_atom_table.csv,0b076e502a8a0e31c1e136b40e347c8815b4d671dce0f74b987c5e536b423b0a,true,csv,explicit type_symbol and source row order,228,1,true
ligand_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_atom_table.csv,0f375a441d3d1718dfdbf084aebae0c4612aaae7905c8131018bed671fb6c70e,true,csv,explicit type_symbol and source row order,13,1,true
pocket_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/pocket_atom_table.csv,1ef54fbbb7d8adf336de6ef29a064a3b689c67a8223240e65986b788a9ad7df8,true,csv,explicit type_symbol and source row order,178,1,true
ligand_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,c91bb14b37c9b7231cb0e2fac4e2ba39ce65d65b6a9481b1e83b83890f2e1650,true,csv,explicit type_symbol and source row order,13,1,true
pocket_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,true,csv,explicit type_symbol and source row order,121,1,true
ligand_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_atom_table.csv,13d2148bbcf544b62bd256b7ab8f14f31187d550a9e75d8c6d72deddada87d4a,true,csv,explicit type_symbol and source row order,18,1,true
pocket_atom_table,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/pocket_atom_table.csv,da421e99a42825bac551884475741bec3bbc15feac2ea7ed7dcbd4e53fcd98a5,true,csv,explicit type_symbol and source row order,196,1,true
historical_dataset_lineage,dataset.py,d1c548185521692ca14be062e34d5bea617f8d3c89a22eaef4ddb13a52907c99,true,python,ProcessedLigandPocketDataset,0,0,true
model_feature_consumer_reference,equivariant_diffusion/dynamics.py,16b008598de7c61c0b5575e3af02f9b1a9e6697559864df1591314e4b4ec6b9f,true,python,EGNNDynamics.forward,0,0,true
diffusion_input_consumer_reference,equivariant_diffusion/en_diffusion.py,841f95e8d47fd1bc27f50b76f605bf6d0369308c68c7a65b199e51b00b30d8ef,true,python,normalize/forward/inpaint,0,0,true
