sample_index_row_id,sample_preparation_input_id,pdb_id,ligand_identity,domain,source_table_path,source_table_sha256,source_atom_row_index_0based,source_atom_site_or_row_identity,type_symbol,symbol_class,projection_disposition,projection_reason,retained_for_checkpoint_model,projected_heavy_atom_row_index_0based,checkpoint_channel_index,excluded_before_centering,excluded_before_node_count,excluded_before_batch_membership,excluded_before_mask_projection,excluded_before_pair_index_projection,sample_rejected,verified
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,0,atom_site_id=3712,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,0,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,1,atom_site_id=3713,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,1,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,2,atom_site_id=3714,O,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,2,2,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,3,atom_site_id=3715,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,3,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,4,atom_site_id=3716,C,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,4,0,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,5,atom_site_id=3717,O,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,5,2,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,6,atom_site_id=3718,N,supported_checkpoint_heavy_atom,retain_checkpoint_10d,supported_nonhydrogen_retained_in_checkpoint_10d,true,6,1,false,false,false,false,false,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,7,atom_site_id=3720,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,8,atom_site_id=3721,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,6BV6,JUG,protein_or_pocket_atom,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,8304b32fe3744010e9fed4c0cdbf1036f3550130b6ceeb0b4e72f6cf467bf09a,9,atom_site_id=3722,H,explicit_hydrogen,exclude_explicit_hydrogen,explicit_hydrogen_excluded_before_model_bound_projection,false,,,true,true,true,true,true,false,true
