mapping_id,sample_index_field,primary_source_artifact,primary_source_field,fallback_source_artifact,fallback_source_field,transformation_rule,required_validation,mapping_status
CYS_SG_SAMPLE_INDEX_MAPPING_000001,sample_index_row_id,source inventory,sample_index_row_id,,,copy or generate during future materialization smoke,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000002,sample_preparation_input_id,source inventory,sample_preparation_input_id,,,copy or generate during future materialization smoke,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000003,sample_execution_id,source inventory,sample_execution_id,,,copy or generate during future materialization smoke,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000004,sample_qa_id,source inventory,sample_qa_id,,,copy or generate during future materialization smoke,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000005,pdb_id,sample-level QA,pdb_id,execution manifest,pdb_id,copy validated identity field,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000006,expected_het_id,sample-level QA,expected_het_id,execution manifest,expected_het_id,copy validated ligand identity,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000007,sample_artifact_root,source inventory,sample_artifact_root,,,copy or generate during future materialization smoke,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000008,protein_atom_table_path,sample_artifact_root,protein_atom_table.csv,,,join sample_artifact_root with fixed filename,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000009,ligand_atom_table_path,sample_artifact_root,ligand_atom_table.csv,,,join sample_artifact_root with fixed filename,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000010,pocket_atom_table_path,sample_artifact_root,pocket_atom_table.csv,,,join sample_artifact_root with fixed filename,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000011,covalent_event_table_path,sample_artifact_root,covalent_event_table.csv,,,join sample_artifact_root with fixed filename,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000012,ligand_residue_atom_pair_table_path,sample_artifact_root,ligand_residue_atom_pair_table.csv,,,join sample_artifact_root with fixed filename,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000013,sample_preparation_audit_path,sample_artifact_root,sample_preparation_audit.csv,,,join sample_artifact_root with fixed filename,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000014,protein_atom_count,execution manifest,protein_atom_count,sample-level QA,protein_atom_count,copy validated count,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000015,ligand_atom_count,execution manifest,ligand_atom_count,sample-level QA,ligand_atom_count,copy validated count,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000016,pocket_atom_count,execution manifest,pocket_atom_count,sample-level QA,pocket_atom_count,copy validated count,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000017,covalent_event_count,execution manifest,covalent_event_count,sample-level QA,covalent_event_count,copy validated count,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000018,ligand_residue_atom_pair_count,execution manifest,ligand_residue_atom_pair_count,sample-level QA,ligand_residue_atom_pair_count,copy validated count,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000019,covalent_residue_name,Step 14AA covalent_event_table,residue_comp_id,,,copy CYS residue identity,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000020,covalent_residue_chain_id,Step 14AA covalent_event_table,residue_auth_asym_id,Step 14AA covalent_event_table,residue_label_asym_id,prefer auth chain id,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000021,covalent_residue_index,Step 14AA covalent_event_table,residue_auth_seq_id,Step 14AA covalent_event_table,residue_label_seq_id,prefer auth residue index,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000022,covalent_residue_atom_name,Step 14AA covalent_event_table,residue_atom_name,,,copy SG atom identity,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000023,ligand_comp_id,Step 14AA covalent_event_table,ligand_comp_id,,,copy ligand comp id,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000024,ligand_covalent_atom_name,Step 14AA covalent_event_table,ligand_atom_name,,,copy ligand covalent atom name,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000025,covalent_bond_atom_pair,Step 14AA covalent_event_table,covalent_bond_atom_pair,Step 14AB event pair QA,covalent_bond_atom_pair,copy validated atom pair,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000026,conn_id,Step 14AA covalent_event_table,conn_id,,,copy struct_conn id from derived table,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000027,conn_type_id,Step 14AA covalent_event_table,conn_type_id,,,copy covale conn type,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000028,bond_distance_angstrom,Step 14AA ligand_residue_atom_pair_table,bond_distance_angstrom,Step 14AB event pair QA,bond_distance_angstrom,copy validated distance,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000029,sample_index_status,constant,sample_index_materialized_from_qa_passed_sample,,,future materialization constant,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000030,eligible_for_final_dataset_design,constant,false,,,remain false until future QA/application gate,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000031,ready_for_training_current_step,constant,false,,,remain false,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000032,feature_semantics_audit_required_before_training,constant,true,,,remain true,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
CYS_SG_SAMPLE_INDEX_MAPPING_000033,leakage_split_design_required_before_training,constant,true,,,remain true,validated by Step 14AB QA gate and future sample index materialization smoke,planned_and_validated
