planned_sample_id,extracted_event_id,pdb_id,het_code,mask_task_name,mask_task_alias,mask_task_semantic_description,event_qa_passed,atom_qa_passed,geometry_qa_passed,scaffold_linker_warhead_annotation_required,auxiliary_labels_required,materialized_current_step,ready_for_future_sample_index_smoke,ready_for_training,mask_task_expansion_contract_passed
sample_plan::covpdb::1A3B::T29::H:SER195:OG-B::A,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,warhead_only,A,mask warhead atoms only while preserving linker and scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3B::T29::H:SER195:OG-B::B,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,linker_plus_warhead,B,mask linker and warhead atoms while preserving scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3B::T29::H:SER195:OG-B::B2,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_warhead,B2,mask scaffold and warhead atoms while preserving linker context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3B::T29::H:SER195:OG-B::B3,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_only,B3,mask scaffold atoms only while preserving linker and warhead context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3B::T29::H:SER195:OG-B::C,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_linker_plus_warhead,C,mask full ligand scaffold linker and warhead,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3E::T16::H:SER195:OG-B::A,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,warhead_only,A,mask warhead atoms only while preserving linker and scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3E::T16::H:SER195:OG-B::B,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,linker_plus_warhead,B,mask linker and warhead atoms while preserving scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3E::T16::H:SER195:OG-B::B2,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_warhead,B2,mask scaffold and warhead atoms while preserving linker context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3E::T16::H:SER195:OG-B::B3,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_only,B3,mask scaffold atoms only while preserving linker and warhead context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A3E::T16::H:SER195:OG-B::C,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_linker_plus_warhead,C,mask full ligand scaffold linker and warhead,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A46::00K::H:SER195:OG-C::A,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,warhead_only,A,mask warhead atoms only while preserving linker and scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A46::00K::H:SER195:OG-C::B,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,linker_plus_warhead,B,mask linker and warhead atoms while preserving scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A46::00K::H:SER195:OG-C::B2,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_warhead,B2,mask scaffold and warhead atoms while preserving linker context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A46::00K::H:SER195:OG-C::B3,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_only,B3,mask scaffold atoms only while preserving linker and warhead context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A46::00K::H:SER195:OG-C::C,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,1A46,00K,scaffold_plus_linker_plus_warhead,C,mask full ligand scaffold linker and warhead,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A5G::00L::H:SER195:OG-C::A,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,warhead_only,A,mask warhead atoms only while preserving linker and scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A5G::00L::H:SER195:OG-C::B,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,linker_plus_warhead,B,mask linker and warhead atoms while preserving scaffold context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A5G::00L::H:SER195:OG-C::B2,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_warhead,B2,mask scaffold and warhead atoms while preserving linker context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A5G::00L::H:SER195:OG-C::B3,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_only,B3,mask scaffold atoms only while preserving linker and warhead context,True,True,True,True,True,False,True,False,True
sample_plan::covpdb::1A5G::00L::H:SER195:OG-C::C,extracted_event::covpdb::1A5G::00L::H:SER195:OG-C,1A5G,00L,scaffold_plus_linker_plus_warhead,C,mask full ligand scaffold linker and warhead,True,True,True,True,True,False,True,False,True
