sample_index_field,planned_data_type,required,nullable,semantic_role,source_artifact,source_field,validation_rule,current_step_materializes_field,schema_contract_passed
sample_index_row_id,string,True,False,future_materialized_sample_index_field,future_materialization,generated_stable_id,stable generated row id required,False,True
sample_preparation_input_id,string,True,False,future_materialized_sample_index_field,source_inventory,sample_preparation_input_id,non-empty Step 14AA input id,False,True
sample_execution_id,string,True,False,future_materialized_sample_index_field,source_inventory,sample_execution_id,non-empty Step 14AA execution id,False,True
sample_qa_id,string,True,False,future_materialized_sample_index_field,source_inventory,sample_qa_id,non-empty Step 14AB QA id,False,True
pdb_id,string,True,False,future_materialized_sample_index_field,source_inventory,pdb_id,one of accepted QA-passed PDB IDs,False,True
expected_het_id,string,True,False,future_materialized_sample_index_field,source_inventory,expected_het_id,equals JUG for this pilot set,False,True
sample_artifact_root,string,True,False,future_materialized_sample_index_field,source_inventory,sample_artifact_root,path exists,False,True
protein_atom_table_path,string,True,False,future_materialized_sample_index_field,source_inventory,protein_atom_table_path,path exists,False,True
ligand_atom_table_path,string,True,False,future_materialized_sample_index_field,source_inventory,ligand_atom_table_path,path exists,False,True
pocket_atom_table_path,string,True,False,future_materialized_sample_index_field,source_inventory,pocket_atom_table_path,path exists,False,True
covalent_event_table_path,string,True,False,future_materialized_sample_index_field,source_inventory,covalent_event_table_path,path exists,False,True
ligand_residue_atom_pair_table_path,string,True,False,future_materialized_sample_index_field,source_inventory,ligand_residue_atom_pair_table_path,path exists,False,True
sample_preparation_audit_path,string,True,False,future_materialized_sample_index_field,source_inventory,sample_preparation_audit_path,path exists,False,True
protein_atom_count,number,True,False,future_materialized_sample_index_field,source_inventory,protein_atom_count,> 0,False,True
ligand_atom_count,number,True,False,future_materialized_sample_index_field,source_inventory,ligand_atom_count,> 0,False,True
pocket_atom_count,number,True,False,future_materialized_sample_index_field,source_inventory,pocket_atom_count,> 0,False,True
covalent_event_count,number,True,False,future_materialized_sample_index_field,source_inventory,covalent_event_count,= 1,False,True
ligand_residue_atom_pair_count,number,True,False,future_materialized_sample_index_field,source_inventory,ligand_residue_atom_pair_count,= 1,False,True
covalent_residue_name,string,True,False,future_materialized_sample_index_field,covalent_event_table,residue_comp_id,equals CYS,False,True
covalent_residue_chain_id,string,True,False,future_materialized_sample_index_field,covalent_event_table,residue_auth_asym_id,non-empty chain id,False,True
covalent_residue_index,string,True,True,future_materialized_sample_index_field,covalent_event_table,residue_auth_seq_id,non-empty residue index,False,True
covalent_residue_atom_name,string,True,False,future_materialized_sample_index_field,covalent_event_table,residue_atom_name,equals SG,False,True
ligand_comp_id,string,True,False,future_materialized_sample_index_field,covalent_event_table,ligand_comp_id,equals JUG,False,True
ligand_covalent_atom_name,string,True,False,future_materialized_sample_index_field,covalent_event_table,ligand_atom_name,equals CAG,False,True
covalent_bond_atom_pair,string,True,False,future_materialized_sample_index_field,covalent_event_table,covalent_bond_atom_pair,equals SG--CAG,False,True
conn_id,string,True,False,future_materialized_sample_index_field,covalent_event_table,conn_id,non-empty struct_conn id from prepared table,False,True
conn_type_id,string,True,False,future_materialized_sample_index_field,covalent_event_table,conn_type_id,equals covale,False,True
bond_distance_angstrom,number,True,False,future_materialized_sample_index_field,ligand_residue_atom_pair_table,bond_distance_angstrom,positive numeric distance,False,True
sample_index_status,string,True,False,future_materialized_sample_index_field,future_constant,sample_index_materialized_from_qa_passed_sample,constant in future materialization,False,True
eligible_for_final_dataset_design,boolean,True,False,future_materialized_sample_index_field,future_constant,false,false until future QA/application gate,False,True
ready_for_training_current_step,boolean,True,False,future_materialized_sample_index_field,current_step_constant,false,must remain false,False,True
feature_semantics_audit_required_before_training,boolean,True,False,future_materialized_sample_index_field,current_step_constant,true,must remain true,False,True
leakage_split_design_required_before_training,boolean,True,False,future_materialized_sample_index_field,current_step_constant,true,must remain true,False,True
