policy_item,policy_description,policy_contract_passed
sample_index_design_gate_only,sample index design gate only,True
design_gate_does_not_write_sample_index,design gate does not write sample index,True
source_inventory_is_not_sample_index,source inventory is not sample index,True
materialization_plan_is_not_sample_index,materialization plan is not sample index,True
design_gate_reads_qa_passed_derived_outputs_only,design gate reads qa passed derived outputs only,True
design_gate_does_not_read_raw_mmcif,design gate does not read raw mmcif,True
design_gate_does_not_modify_atom_event_tables,design gate does not modify atom event tables,True
no_final_dataset_current_step,no final dataset current step,True
no_split_or_leakage_current_step,no split or leakage current step,True
no_dataloader_smoke_current_step,no dataloader smoke current step,True
no_training_current_step,no training current step,True
feature_semantics_audit_required_before_training,feature semantics audit required before training,True
leakage_split_gate_required_before_training,leakage split gate required before training,True
canonical_five_masks_preserved,canonical five masks preserved,True
do_not_train_from_sample_index_design_artifacts,do not train from sample index design artifacts,True
