audit_order,audit_item,expected_state,observed_state,safety_passed
1,dispatcher_calls,0,0,true
2,single_rule_handler_calls,0,0,true
3,network,false,false,true
4,provider,false,false,true
5,download,false,false,true
6,raw,false,false,true
7,torch_import,false,false,true
8,dataloader,false,false,true
9,checkpoint,false,false,true
10,model,false,false,true
11,forward,false,false,true
12,loss,false,false,true
13,backward,false,false,true
14,optimizer,false,false,true
15,scheduler,false,false,true
16,parameter_update,false,false,true
17,checkpoint_write,false,false,true
18,training_result,false,false,true
19,current_permission,false,false,true
20,authorized_execution_count,0,0,true
21,aggregator_implementation,false,false,true
22,combined_verdict_implementation,false,false,true
23,orchestrator,false,false,true
24,feature_semantics_audit_completed,false,false,true
25,ready_for_training,false,false,true
26,exact15_runtime_modified,false,false,true
27,combined_semantics_stage_modified,false,false,true
28,aggregation_io_used,false,false,true
29,runtime_dispatcher_call_order_frozen,false,false,true
30,stage_global_rule_orchestration_frozen,false,false,true
