contract_order,contract_group,field_order,field_name,exact_top_level_type,nested_type,fixed_or_conditional_invariant,pass_projection,blocked_projection,invalid_projection,identity_behavior,contract_passed
1,future_exact13_result_field,1,schema_version,str,exact str,covapie_combined_admission_candidate_verdict_v1,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
2,future_exact13_result_field,2,scope_id,str,exact str; Exact4 scope vocabulary,validated scope; exact str preserved on scope failure else empty,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
3,future_exact13_result_field,3,outcome,str,passed|blocked|invalid,invalid>blocked>passed after structural and membership validation,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
4,future_exact13_result_field,4,passed,bool,exact bool,outcome == passed,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
5,future_exact13_result_field,5,blocks_scope_action,bool,exact bool,outcome != passed,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
6,future_exact13_result_field,6,reason,str,empty pass or Exact6 nonempty failure reason,Exact6 closed vocabulary plus empty pass reason,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
7,future_exact13_result_field,7,required_rule_ids,tuple,"tuple[str, ...]",scope Exact membership; empty only for invalid scope,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
8,future_exact13_result_field,8,evaluated_rule_ids,tuple,"tuple[str, ...]",required order after structural validation,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
9,future_exact13_result_field,9,rule_evaluations,tuple,"tuple[UnifiedAdmissionRuleEvaluation, ...]","retained only after runtime structural validity, aggregation outcome admissibility, and exact membership; nested duplicate payloads are not interpreted",canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,input tuple identity retained,true
10,future_exact13_result_field,10,invalid_rule_ids,tuple,"tuple[str, ...]",all invalid child IDs in required order,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
11,future_exact13_result_field,11,blocked_rule_ids,tuple,"tuple[str, ...]",all blocked child IDs in required order,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
12,future_exact13_result_field,12,failing_rule_ids,tuple,"tuple[str, ...]",all non-passed child IDs in required order,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
13,future_exact13_result_field,13,aggregation_io_used,bool,exact bool,always false,canonical fully valid projection,canonical fully valid projection,reason-specific fail-closed projection,immutable scalar or tuple,true
14,exact6_nonempty_reason_vocabulary,1,reason,str,n/a,COMBINED_ADMISSION_SCOPE_ID_INVALID,,n/a,COMBINED_ADMISSION_SCOPE_ID_INVALID,fixed vocabulary,true
15,exact6_nonempty_reason_vocabulary,2,reason,str,n/a,COMBINED_ADMISSION_RULE_EVALUATION_VECTOR_TYPE_INVALID,,n/a,COMBINED_ADMISSION_RULE_EVALUATION_VECTOR_TYPE_INVALID,fixed vocabulary,true
16,exact6_nonempty_reason_vocabulary,3,reason,str,n/a,COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID,,n/a,COMBINED_ADMISSION_RULE_EVALUATION_INVARIANT_INVALID,fixed vocabulary,true
17,exact6_nonempty_reason_vocabulary,4,reason,str,n/a,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,,n/a,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,fixed vocabulary,true
18,exact6_nonempty_reason_vocabulary,5,reason,str,n/a,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,,n/a,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,fixed vocabulary,true
19,exact6_nonempty_reason_vocabulary,6,reason,str,n/a,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,n/a,fixed vocabulary,true
