manual_review_candidate_id,candidate_source_stage,pdb_id,suggested_ligand_comp_id,ccd_ligand_name,ccd_formula,ccd_type,covpdb_reaction_name,covpdb_warhead_name,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,covpdb_uniprot,complex_card_url,struct_conn_evidence_status,suggested_covalent_bond_atom_pair,previous_manual_decision,user_manual_decision,user_decision_reason,curator_initials,review_date,review_comment,ready_candidate_current_step,ready_for_training_current_step
CYS_SG_MANUAL_REVIEW_000001,step14l_targeted_annotation_acquisition,1AEC,E64,N-[N-[1-HYDROXYCARBOXYETHYL-CARBONYL]LEUCYLAMINO-BUTYL]-GUANIDINE,C15 H30 N5 O5,non-polymer,Epoxide Opening,Epoxide,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,available_from_step14j_struct_conn,SG--C2,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000002,step14l_targeted_annotation_acquisition,1AIM,ZYA,BENZOYL-TYROSINE-ALANINE-FLUORO-METHYL KETONE,C21 H23 F N2 O5,peptide-like,Nucleophilic Aliphatic Subsititution,Halomethyl Carbonyl,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,available_from_step14j_struct_conn,SG--CM,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000003,step14l_targeted_annotation_acquisition,1ATK,E64,N-[N-[1-HYDROXYCARBOXYETHYL-CARBONYL]LEUCYLAMINO-BUTYL]-GUANIDINE,C15 H30 N5 O5,non-polymer,Epoxide Opening,Epoxide,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,available_from_step14j_struct_conn,SG--C2,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000004,step14l_targeted_annotation_acquisition,1AU3,PCM,1-[N[(PHENYLMETHOXY)CARBONYL]-L-LEUCYL-4-[[N/N-[(PHENYLMETHOXY)CARBONYL]-/NL-LEUCYL]AMINO]-3-PYRROLIDINONE/N,C32 H42 N4 O7,non-polymer,Hemi(thio)acetalization,Ketone,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,available_from_step14j_struct_conn,SG--C22,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000005,step14l_targeted_annotation_acquisition,1AU4,INP,4-[[N-[(PHENYLMETHOXY)CARBONYL]-/NL/N-LEUCYL]AMINO]-1[(2S)-2-[[[4-(PYRIDINYLMETHOXY)CARBONYL]AMINO]-4-METHYLPENT/NYL]-3-PYRROLIDINONE/N,C31 H43 N5 O6,non-polymer,Hemi(thio)acetalization,Ketone,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,available_from_step14j_struct_conn,SG--C17,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000006,step14l_targeted_annotation_acquisition,1AYU,INA,"1,5-BIS(N-BENZYLOXYCARBONYL-L-LEUCINYL)CARBOHYDRAZIDE",C29 H40 N6 O7,non-polymer,Nucleophilic Addition to a Double Bond,Hydrazide,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,available_from_step14j_struct_conn,SG--C21,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000007,step14l_targeted_annotation_acquisition,1AYV,IN6,N-[2-[1-(N-BENZYLOXYCARBONYLAMINO)-3-METHYLBUTYL]THIAZOL-4-YLCARBONYL]-N'-(BENZYLOXYCARBONYL-L-LEUCINYL)HYDRAZIDE,C31 H39 N5 O6 S,non-polymer,Nucleophilic Addition to a Double Bond,Hydrazide,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,available_from_step14j_struct_conn,SG--C21,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000008,step14l_targeted_annotation_acquisition,1AYW,IN3,1-(N-BENZYLOXYCARBONYL-L-LEUCINYL)-5-(3-BENZYLOXY BENZOYL)CARBOHYDRAZIDE,C29 H33 N5 O6,non-polymer,Nucleophilic Addition to a Double Bond,Hydrazide,CYS,25,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,available_from_step14j_struct_conn,SG--C21,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000009,step14l_targeted_annotation_acquisition,1B02,UFP,5-FLUORO-2'-DEOXYURIDINE-5'-MONOPHOSPHATE,C9 H12 F N2 O8 P,DNA linking,Nucleophilic Aromatic Substitution,Aryl Halide,CYS,161,A,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,available_from_step14j_struct_conn,SG--C6,pending_manual_review,pending_manual_review,,,,,False,False
CYS_SG_MANUAL_REVIEW_000010,step14n_next_batch_metadata_acquisition,1A54,MDC,N-[2-(1-MALEIMIDYL)ETHYL]-7-DIETHYLAMINOCOUMARIN-3-CARBOXAMIDE,C20 H21 N3 O5,non-polymer,Michael Addition,Vinyl Carbonyl,CYS,197,A,P0AG82 (PSTS_ECOLI),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,pending_future_raw_mmcif_struct_conn_crosscheck,,pending_manual_review,accept_for_future_struct_conn_crosscheck,user_readonly_audit_identified_as_direct_for_future_struct_conn_crosscheck,,,,False,False
