readiness_item,observed_status,readiness_passed,next_required_gate,qa_comment
decision_input_by_user_completed,true,True,covapie_cys_sg_manual_review_decision_application_gate,
accepted_crosscheck_manifest_written,true,True,covapie_cys_sg_manual_review_decision_application_gate,
ready_for_manual_review_decision_application_gate,true,True,covapie_cys_sg_manual_review_decision_application_gate,
ready_for_future_struct_conn_crosscheck_gate_false_current_step,false,True,not_allowed_current_step,
ready_for_small_pilot_manifest_rerun_false,false,True,not_allowed_current_step,
ready_for_actual_dataloader_false,false,True,not_allowed_current_step,
training_still_false,false,True,not_allowed_current_step,
feature_semantics_still_not_training_final,true,True,feature_semantics_audit_required_before_training,
raw_files_remain_untracked_uncommitted,True,True,raw_files_not_committable,
step14o_template_unchanged,True,True,step14o_artifacts_read_only,
