policy_item,policy_description,policy_status,policy_contract_passed,qa_comment
manual_decision_input_is_user_supplied,Decision input records user-selected rows from the prior read-only review.,passed,True,
only_five_user_selected_rows_accepted_for_crosscheck,Only the five named user-selected rows are accepted for future cross-check.,passed,True,
accept_for_future_struct_conn_crosscheck_is_not_ready_candidate,Accepted for cross-check is not a dataset-ready label.,passed,True,
remaining_twenty_rows_stay_pending_manual_review,All non-selected rows remain pending manual review.,passed,True,
no_rejects_current_step,No reject decisions are introduced.,passed,True,
no_needs_more_evidence_current_step,No needs_more_evidence decisions are introduced.,passed,True,
no_training_current_step,No training is allowed or performed.,passed,True,
future_struct_conn_crosscheck_required_before_dataset_ready,Accepted rows require future raw mmCIF struct_conn cross-check before dataset-ready status.,passed,True,
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,passed,True,
leakage_split_gate_required_before_training,Leakage/split gate remains required before training.,passed,True,
step14o_artifacts_must_remain_unchanged,Step 14O template artifacts are read-only inputs.,passed,True,
do_not_use_pdb_id_or_ligand_id_alone_as_identity,PDB ID or ligand ID alone is not an event identity.,passed,True,
