allowlist_column,current_gap_status,required_action_before_materialization,blocking_for_materialization,gap_audit_passed
candidate_id,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
source_dataset_name,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
source_dataset_version,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
source_file_relative_path,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
pdb_id,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
ligand_id,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
chain_id,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
residue_name,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
residue_index,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
residue_atom_name,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
covalent_bond_atom_pair,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
restoration_policy_id,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
manual_review_status,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
include_in_smoke,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
exclusion_reason,covered_by_existing_derived_artifact,map_existing_source_field_in_future_metadata_assembly_design_gate,False,True
