allowlist_column,direct_source_artifact_count,possible_source_artifacts,best_current_source_artifact,coverage_status,derivation_required,manual_review_required,source_coverage_passed
candidate_id,42,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/loader_dry_run_review_only/dataset_snapshot_review_gate_report.csv;data/derived/covalent_small/loader_dry_run_review_only/read_only_dataset_loader_dry_run_qa_report.csv;data/derived/covalent_small/loader_dry_run_review_only/read_only_dataset_loader_dry_run_report.csv;data/derived/covalent_small/pre_reaction_graph/actual_dataset_index_build_report.csv;data/derived/covalent_small/pre_reaction_graph/actual_dataset_index_qa_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_assembly_file_existence_and_hash_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_assembly_final_readiness_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_assembly_graph_preview_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_assembly_schema_validation_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_index_build_gate_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_index_design_review_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_packaging_dry_run_qa_report.csv;data/derived/covalent_small/pre_reaction_graph/dataset_packaging_dry_run_report.csv;data/derived/covalent_small/pre_reaction_graph/post_manifest_dataset_assembly_dry_run_candidates.csv;data/derived/covalent_small/pre_reaction_graph/read_only_dataset_loader_dry_run_gate_report.csv;data/derived/covalent_small/pre_reaction_graph/real_packaging_design_review_report.csv;data/derived/covalent_small/pre_reaction_graph/real_packaging_execution_gate_report.csv;data/derived/covalent_small/pre_reaction_graph/real_packaging_execution_qa_report.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
source_dataset_name,6,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/real_training_dataset_package_review_only/real_training_dataset_manifest.json;data/derived/covalent_small/training_dataset_design_review_only/training_dataset_design_manifest.json;data/derived/covalent_small/training_dataset_packaging_design_review_only/real_training_dataset_packaging_gate_plan.csv;data/derived/covalent_small/training_dataset_packaging_design_review_only/training_dataset_packaging_design_manifest.json,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
source_dataset_version,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
source_file_relative_path,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
pdb_id,56,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0/covapie_adapter_input_qa_audit.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_atom_site_coordinate_extraction_altloc_aware_rerun_v0/real_covalent_confirmed_candidate_atom_site_altloc_selection_audit.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_atom_site_coordinate_extraction_altloc_aware_rerun_v0/real_covalent_confirmed_candidate_atom_site_coordinates_altloc_aware.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_atom_site_coordinate_extraction_design_gate_v0/real_covalent_confirmed_candidate_atom_site_coordinate_extraction_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_atom_site_coordinate_extraction_smoke_v0/real_covalent_confirmed_candidate_atom_site_coordinates.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware/real_covalent_confirmed_candidate_coordinate_pair_sanity_table_v1_altloc_aware.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0/diffsbdd_loader_adapter_input_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_input_audit.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0/real_covalent_confirmed_candidate_full_atom_extraction_candidate_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0/real_covalent_confirmed_candidate_full_atom_endpoint_recovery_audit.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0/real_covalent_confirmed_candidate_ligand_full_atom_table.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_full_atom_extraction_smoke_v0/real_covalent_confirmed_candidate_protein_full_atom_table.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_candidate_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_current_cys_goldens_v0/ligand_observed_atom_topology_table.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_current_cys_goldens_v0/ligand_observed_bond_topology_table.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_current_cys_goldens_v0/ligand_topology_artifact_discovery_audit.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_current_cys_goldens_v0/ligand_topology_smoke_audit.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
ligand_id,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
chain_id,3,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/real_covalent_feature_semantics_audit_debug_v0/real_covalent_feature_semantics_audit_debug_table.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
residue_name,13,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/pre_reaction_graph/pre_reaction_transform_manual_review_draft.csv;data/derived/covalent_small/pre_reaction_graph/pre_reaction_transform_rule_template.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0/diffsbdd_loader_adapter_input_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_design_gate_v0/loader_shape_dry_run_input_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_sample_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_index.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv;data/derived/covalent_small/real_covalent_feature_semantics_audit_debug_v0/real_covalent_feature_semantics_audit_debug_table.csv;data/derived/covalent_small/real_covalent_minimal_mmcif_adapter_smoke_v0/real_covalent_minimal_mmcif_adapter_summary.csv;data/derived/covalent_small/real_covalent_struct_conn_candidate_adapter_merge_smoke_v0/real_covalent_struct_conn_candidate_enriched_stub.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
residue_index,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
residue_atom_name,10,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0/diffsbdd_loader_adapter_input_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_loader_shape_dry_run_design_gate_v0/loader_shape_dry_run_input_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_sample_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_index.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv;data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_materialization_smoke_v0/real_covalent_confirmed_candidate_sample_index_smoke.csv;data/derived/covalent_small/real_covalent_minimal_mmcif_adapter_smoke_v0/real_covalent_minimal_mmcif_adapter_summary.csv;data/derived/covalent_small/real_covalent_struct_conn_candidate_adapter_merge_smoke_v0/real_covalent_struct_conn_candidate_enriched_stub.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
covalent_bond_atom_pair,4,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv;data/derived/covalent_small/real_covalent_minimal_mmcif_adapter_smoke_v0/real_covalent_minimal_mmcif_adapter_summary.csv;data/derived/covalent_small/real_covalent_struct_conn_candidate_adapter_merge_smoke_v0/real_covalent_struct_conn_candidate_enriched_stub.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
restoration_policy_id,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
manual_review_status,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
include_in_smoke,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
exclusion_reason,2,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv;data/derived/covalent_small/covapie_candidate_allowlist_materialization_smoke_v0/covapie_batch_smoke_candidate_allowlist_materialized_blocked_header_only.csv,data/derived/covalent_small/covapie_candidate_allowlist_creation_gate_v0/templates/covapie_batch_smoke_candidate_allowlist_template.csv,directly_available,False,False,True
