review_unit_id,event_count,human_workflow_status,human_training_domain_relevance_decision,selected_auto_negative_rule_id,selected_rule_matched_event_count,selected_rule_all_events_match,total_gate_invalid_evaluation_count,per_rule_evidence_json,final_task_domain_route,final_route_reason,effective_new_auto_negative,downstream_chemistry_review_required,human_overlay_mutated
COVAPIE_BULK_REVIEW_UNIT_024EEB356034F83D,1,UNREVIEWED,,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,false,false,false
COVAPIE_BULK_REVIEW_UNIT_07BD3B72031BD7CC,2,COMPLETED,RELEVANT_FOR_COVAPIE_POST_ONLY_V1,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":2,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":2,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_RELEVANT_FINAL,CURRENT_HUMAN_RELEVANT_DECISION_HAS_FIRST_PRECEDENCE,false,false,false
COVAPIE_BULK_REVIEW_UNIT_164B59C21643F70A,2,COMPLETED,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":2,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":2,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_NOT_RELEVANT_FINAL,CURRENT_HUMAN_NOT_RELEVANT_DECISION_HAS_SECOND_PRECEDENCE,false,false,false
COVAPIE_BULK_REVIEW_UNIT_1E58101A3E611294,1,UNREVIEWED,,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,false,false,false
COVAPIE_BULK_REVIEW_UNIT_29BE63EC8EF2392B,1,UNREVIEWED,,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,false,false,false
COVAPIE_BULK_REVIEW_UNIT_2EBCD325E1CD2081,1,COMPLETED,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":1,""not_matched_event_count"":0,""invalid_event_count"":0,""all_events_match"":true}]",HUMAN_NOT_RELEVANT_FINAL,CURRENT_HUMAN_NOT_RELEVANT_DECISION_HAS_SECOND_PRECEDENCE,false,false,false
COVAPIE_BULK_REVIEW_UNIT_47AC17EBC8C3AFD6,2,UNREVIEWED,,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":2,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":2,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_REVIEW_REQUIRED,NO_SINGLE_EXACT_RULE_MATCHED_EVERY_EVENT;HUMAN_REVIEW_RETAINED,false,false,false
COVAPIE_BULK_REVIEW_UNIT_5184266C4D495D18,16,COMPLETED,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":16,""not_matched_event_count"":0,""invalid_event_count"":0,""all_events_match"":true},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":16,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_NOT_RELEVANT_FINAL,CURRENT_HUMAN_NOT_RELEVANT_DECISION_HAS_SECOND_PRECEDENCE,false,false,false
COVAPIE_BULK_REVIEW_UNIT_53F40FB515D7D1DF,1,COMPLETED,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_NOT_RELEVANT_FINAL,CURRENT_HUMAN_NOT_RELEVANT_DECISION_HAS_SECOND_PRECEDENCE,false,false,false
COVAPIE_BULK_REVIEW_UNIT_5662273FCD38234C,1,IN_PROGRESS,RELEVANT_FOR_COVAPIE_POST_ONLY_V1,,0,false,0,"[{""rule_id"":""NEG_V1_TS_DUMP_CATALYTIC_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false},{""rule_id"":""NEG_V2_DTT_CRYSTALLIZATION_REDUCING_ADDUCT_EXACT"",""matched_event_count"":0,""not_matched_event_count"":1,""invalid_event_count"":0,""all_events_match"":false}]",HUMAN_RELEVANT_FINAL,CURRENT_HUMAN_RELEVANT_DECISION_HAS_FIRST_PRECEDENCE,false,true,false
