occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,contains_concrete_value,concrete_value,authoritative_for_runtime_semantics,occurrence_passed
1,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:31,covalent_event_evidence_source,candidate_scalar,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
2,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:72,covalent_event_evidence_source,candidate_scalar,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
3,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:73,allowed_covalent_evidence_classes,evaluation_context,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
4,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:192,classify_admit_006_admit_007_evidence_design,independent_oracle,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
5,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:219,covalent_event_evidence_source,candidate_scalar,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
6,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:279,allowed_covalent_evidence_classes,evaluation_context,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
7,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:299,covalent_event_evidence_source,candidate_scalar,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
8,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:407,covalent_event_evidence_source,candidate_scalar,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
9,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:815,classify_admit_006_admit_007_evidence_design,independent_oracle,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
10,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:913,classify_admit_006_admit_007_evidence_design,independent_oracle,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
11,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:930,classify_admit_006_admit_007_evidence_design,independent_oracle,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
12,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:931,allowed_covalent_evidence_classes,evaluation_context,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
13,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:943,classify_admit_006_admit_007_evidence_design,independent_oracle,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
14,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:1000,explicit_structure_bond_record,evidence_enum_member,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,true,explicit_structure_bond_record,true,true
15,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:1001,explicit_structure_bond_record,evidence_enum_member,shared,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,true,explicit_structure_bond_record,true,true
16,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:1096,ADMIT_007,rule_identity,ADMIT_007,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
17,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,source_code,line:1098,ADMIT_007,rule_identity,ADMIT_007,current Exact6 runtime boundary keeps ADMIT_007 known but unregistered,false,,true,true
