source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,source_code,current_exact6_runtime_boundary,true,true,true,true,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,true
2,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006_v1/covapie_admit_001_to_006_runtime_manifest.json,manifest,current_exact6_runtime_boundary,true,true,true,true,359c666541602458b3ea6a023be95ea06205f8580ff71d371c25306715f558d6,359c666541602458b3ea6a023be95ea06205f8580ff71d371c25306715f558d6,359c666541602458b3ea6a023be95ea06205f8580ff71d371c25306715f558d6,true
3,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006_v1/covapie_admit_001_to_006_runtime_issue_inventory.csv,authoritative_issue_inventory,current_exact6_runtime_boundary,true,true,true,true,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true
4,src/covalent_ext/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate.py,source_code,current_normative_enum_reason_oracle_contract,true,true,true,true,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,true
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_contract_manifest.json,manifest,current_normative_enum_reason_oracle_contract,true,true,true,true,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,true
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_registry.csv,normative_contract,current_normative_enum_reason_oracle_contract,true,true,true,true,7a4c3e2b7be8a097be521d98cd3a9d8003c766cc95a1d41a4b68198f6e6729a7,7a4c3e2b7be8a097be521d98cd3a9d8003c766cc95a1d41a4b68198f6e6729a7,7a4c3e2b7be8a097be521d98cd3a9d8003c766cc95a1d41a4b68198f6e6729a7,true
7,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_validation_truth_matrix.csv,normative_truth_matrix,current_normative_enum_reason_oracle_contract,true,true,true,true,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,true
8,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_admit_006_admit_007_evidence_responsibility_matrix.csv,normative_contract,current_normative_enum_reason_oracle_contract,true,true,true,true,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,true
9,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,normative_contract,historical_rule_identity_and_lowercase_reason_declaration,true,true,true,true,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true
10,data/derived/covalent_small/covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1/covapie_unified_admission_result_schema_and_outcome_contract.csv,normative_contract,unified_result_and_context_routing_contract,true,true,true,true,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,true
