precondition_id,semantic_area,required_contract,observed_contract,source_evidence,semantics_complete,blocker_id,implementation_disposition,precondition_passed
PRE_001,candidate_field_name,single scalar field covalent_event_evidence_source,sole ADMIT_007 candidate dependency frozen,responsibility:ADMIT_007,true,,frozen_or_implementable,true
PRE_002,standalone_input_projection,direct scalar and context objects; missing key excluded,None is scalar type-invalid; empty exact str is empty-invalid; adapter missing is separate,enum source plus ADMIT_006 interface precedent,true,,frozen_or_implementable,true
PRE_003,scalar_exact_type,exact built-in str before all later checks,type -> nonempty -> ASCII -> syntax -> Exact3 membership,enum design source,true,,frozen_or_implementable,true
PRE_004,null_empty_handling,None type-invalid; exact empty str empty-invalid,exact scalar reasons frozen; no standalone missing reason,Exact37 truth,true,,frozen_or_implementable,true
PRE_005,canonicalization,no trim case-fold alias normalization repair,canonical value retained only after exact validation,enum source and manifest,true,,frozen_or_implementable,true
PRE_006,allowed_enum,Exact3 ordered enum explicit_structure_bond_record|explicit_curated_covalent_annotation|distance_only_inference,Exact3 ordered enum explicit_structure_bond_record|explicit_curated_covalent_annotation|distance_only_inference,enum registry,true,,frozen_or_implementable,true
PRE_007,unknown_enum_handling,unknown syntactically valid value is invalid with exact UNKNOWN reason,COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN,Exact37 truth,true,,frozen_or_implementable,true
PRE_008,explicit_vs_distance_only,two explicit members passed; distance-only blocked,explicit_structure_bond_record|explicit_curated_covalent_annotation=passed; distance_only_inference=blocked,responsibility:ADMIT_007 and Exact37 truth,true,,frozen_or_implementable,true
PRE_009,admit006_admit007_boundary,shared validation but distinct responsibility and blocked reason,ADMIT_006=COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT; ADMIT_007=DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,responsibility matrix,true,,frozen_or_implementable,true
PRE_010,outcome_vocabulary,exact outcomes passed|blocked|invalid,explicit=passed; distance-only=blocked; scalar/context failure=invalid,Exact37 truth and result contract,true,,frozen_or_implementable,true
PRE_011,reason_vocabulary,Exact5 scalar + Exact2 context + uppercase ADMIT_007 blocked reason,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID|COVALENT_EVENT_EVIDENCE_SOURCE_EMPTY|COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII|COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID|COVALENT_EVENT_EVIDENCE_SOURCE_UNKNOWN|ALLOWED_COVALENT_EVIDENCE_CLASSES_TYPE_INVALID|ALLOWED_COVALENT_EVIDENCE_CLASSES_CONTENT_INVALID|DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,enum source truth and responsibility,true,,frozen_or_implementable,true
PRE_012,validated_canonical_mapping,scalar invalid clears canonical/pair; context invalid retains canonical/pair,passed/blocked retain canonical and validated pair; context-invalid retains them,Exact37 truth plus ADMIT_006 result precedent,true,,frozen_or_implementable,true
PRE_013,runtime_context_dependency,exact built-in tuple in order explicit_structure_bond_record|explicit_curated_covalent_annotation,scalar failure precedes context failure; content mismatch fail-closed,enum source and Exact37 truth,true,,frozen_or_implementable,true
PRE_014,independent_semantic_oracle,classify_admit_006_admit_007_evidence_design,AST-visible oracle returns admit_007 outcome; audit parses but never executes it,enum design source,true,,frozen_or_implementable,true
PRE_015,standalone_evaluator_safety,implementable without semantic guessing and production must not call oracle,all scalar/context/outcome/reason/state semantics frozen,PRE_001 through PRE_014,true,,frozen_or_implementable,true
PRE_016,real_provider_values,real provider mapping validation deferred,zero committed real provider candidate values; normative enum frozen,header-only observed inventory,false,,future_provider_validation_not_required_for_interface,true
PRE_017,real_candidate_authorization,real candidate evaluation requires separate authorization,current scope is synthetic metadata-only audit,task authorization boundary,false,,blocked_by_current_scope,true
PRE_018,bulk_download_readiness,all rules and aggregation required,ADMIT_007 through ADMIT_015 coverage remains open,current Exact11 issue inventory,false,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,blocked,true
PRE_019,training_readiness,feature-semantics audit required before training,Step12D smoke legality is not final training-feature contract,repository training prerequisite,false,FEATURE_SEMANTICS_AUDIT_REQUIRED,blocked,true
