readiness_item,observed_status,readiness_passed,next_required_gate,qa_comment
next_batch_gate_completed,true,True,covapie_cys_sg_targeted_metadata_next_batch_acquisition_smoke,
next_batch_acquisition_manifest_written,true,True,covapie_cys_sg_targeted_metadata_next_batch_acquisition_smoke,
no_network_current_step,true,True,covapie_cys_sg_targeted_metadata_next_batch_acquisition_smoke,
ready_for_covapie_cys_sg_targeted_metadata_next_batch_acquisition_smoke,true,True,covapie_cys_sg_targeted_metadata_next_batch_acquisition_smoke,
ready_for_acquired_annotation_manual_review_false_current_step,false,True,not_allowed_current_step,
ready_for_small_pilot_manifest_rerun_false,false,True,not_allowed_current_step,
ready_for_actual_dataloader_false,false,True,not_allowed_current_step,
training_still_false,false,True,not_allowed_current_step,
feature_semantics_still_not_training_final,true,True,feature_semantics_audit_required_before_training,
raw_files_remain_untracked_uncommitted,True,True,raw_files_not_committable,
