boundary_item,current_step_status,allowed_current_step,future_condition,boundary_safety_passed,qa_comment
candidate_metadata_materialization,qa_only_existing_first4_metadata,False,candidate_allowlist_materialization_design_gate,True,boundary_respected
candidate_allowlist_materialization,blocked_until_candidate_metadata_qa_gate_passed,False,candidate_allowlist_materialization_design_gate,True,boundary_respected
sample_index,blocked_current_qa_gate,False,future_sample_index_gate_required,True,boundary_respected
final_dataset,blocked_current_qa_gate,False,future_final_dataset_gate_required,True,boundary_respected
split_assignments,blocked_current_qa_gate,False,future_leakage_split_design_gate_required,True,boundary_respected
leakage_matrix,blocked_current_qa_gate,False,future_leakage_split_design_gate_required,True,boundary_respected
training,blocked_current_qa_gate,False,future_training_gate_required,True,boundary_respected
network_access,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
raw_download,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
raw_text_read,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
torch_model_training,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
