matrix_order,responsibility_group,responsibility_item,candidate_authority,committed_precedent,admit_015_contract_status,allowed_source,forbidden_sources,type_semantics,coercion_policy,coexistence_boundary,audit_passed
1,authority,authoritative envelope,stage_authorization_context,ADMIT_014 verified committed precedent,supported_but_admit015_contract_not_frozen,stage_authorization_context,candidate_record|batch_context|evaluation_context|download_result_context|provider_result|environment_variable|filesystem_marker|artifact_sha|git_commit_sha|checkpoint_metadata|training_config|command_line_flag|model_state|dataloader_state,exact builtin bool,no coercion,download and training keys isolated,true
2,authority,training target item,current_stage_training_authorized,Step14AU-A coexistence precedent,supported_but_admit015_contract_not_frozen,stage_authorization_context.current_stage_training_authorized,candidate_record|batch_context|evaluation_context|download_result_context|provider_result|environment_variable|filesystem_marker|artifact_sha|git_commit_sha|checkpoint_metadata|training_config|command_line_flag|model_state|dataloader_state,exact builtin bool,no coercion,never consume download key,true
3,authority,producer,trusted_future_stage_orchestrator,ADMIT_014 verified committed precedent,supported_but_admit015_contract_not_frozen,fresh trusted invocation input,candidate_record|batch_context|evaluation_context|download_result_context|provider_result|environment_variable|filesystem_marker|artifact_sha|git_commit_sha|checkpoint_metadata|training_config|command_line_flag|model_state|dataloader_state,exact builtin bool,no coercion,producer must construct keys independently,true
4,freshness,lifetime,invocation-local,ADMIT_014 verified committed precedent,supported_but_admit015_contract_not_frozen,current invocation,cache|artifact|raw replay,exact builtin bool,no coercion,no cross-invocation replay,true
5,default,omission,omission must fail closed,ADMIT_014 fail-closed precedent,supported_but_admit015_contract_not_frozen,target key only,fallback to download key|defaults,exact builtin bool,no coercion,missing training key cannot read download key,true
6,isolation,download True,no training authority,Exact14 runtime consumes download key only; ADMIT_015 is known-not-registered; Step14AU-A freezes coexistence names only,supported_but_admit015_contract_not_frozen,download key for ADMIT_014 only,training authority,exact builtin bool,no coercion,does not imply training; future ADMIT_015 contract not frozen,true
7,isolation,training True,no download authority,Exact14 runtime ignores training key; ADMIT_015 is known-not-registered; Step14AU-A freezes coexistence names only,supported_but_admit015_contract_not_frozen,training key is a candidate for future ADMIT_015 only,download authority,exact builtin bool,no coercion,does not imply download; future ADMIT_015 contract not frozen,true
8,isolation,fallback,forbidden,audit boundary,forbidden,none,either key as substitute,n/a,forbidden,no fallback,true
9,isolation,alias,forbidden,audit boundary,forbidden,none,key aliasing,n/a,forbidden,no alias,true
10,isolation,OR,forbidden,audit boundary,forbidden,none,download OR training,n/a,forbidden,combined semantics undefined,true
11,isolation,AND as single permission,forbidden,audit boundary,forbidden,none,download AND training,n/a,forbidden,combined semantics undefined,true
12,formal_design,evaluator signature,candidate design question,none,not_frozen_in_preconditions_audit,not selected,all implicit sources,not frozen,not frozen,future contract,true
13,formal_design,result class and fields,candidate design question,none,not_frozen_in_preconditions_audit,not selected,all implicit sources,not frozen,not frozen,future contract,true
14,formal_design,reason vocabulary,candidate design question,none,not_frozen_in_preconditions_audit,not selected,all implicit sources,not frozen,not frozen,future contract,true
15,runtime,adapter ID and handler,candidate design question,none,not_frozen_in_preconditions_audit,not selected,current runtime,not frozen,not frozen,future contract,true
16,enforcement,mandatory training guard,future separate responsibility,not implemented,unresolved,none now,candidate_record|batch_context|evaluation_context|download_result_context|provider_result|environment_variable|filesystem_marker|artifact_sha|git_commit_sha|checkpoint_metadata|training_config|command_line_flag|model_state|dataloader_state,not frozen,not frozen,must precede training,true
