source_order,source_relative_path,expected_sha256,base_tree_mode,base_tree_blob,index_mode,index_blob,index_stage,base_tree_sha256,filesystem_sha256,tracked,regular_file,non_symlink,pinned_read,post_read_identity_verified,final_leaf_identity_verified,source_verified
1,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,100644,f3c321b6faafe93be983597291b5fb08f4e1df35,100644,f3c321b6faafe93be983597291b5fb08f4e1df35,0,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,100644,7fe859b762afb3b37e0d3712a9eae374026be845,100644,7fe859b762afb3b37e0d3712a9eae374026be845,0,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,100644,d6d5b91327fff538a9699e04af62a4d821aff721,100644,d6d5b91327fff538a9699e04af62a4d821aff721,0,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_safety_audit.csv,388869caf582bdf624d0016cae385dc2268f6cc05f54ecc9bf140608bbd3b208,100644,aaa3f30ab4797530705b14218ae8449a4233267d,100644,aaa3f30ab4797530705b14218ae8449a4233267d,0,388869caf582bdf624d0016cae385dc2268f6cc05f54ecc9bf140608bbd3b208,388869caf582bdf624d0016cae385dc2268f6cc05f54ecc9bf140608bbd3b208,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_design_gate_manifest.json,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,100644,8709949ce45dd8a03de972f094f963218032e412,100644,8709949ce45dd8a03de972f094f963218032e412,0,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,100644,9eb36604b2bc40f2c94b36851b17b3dc82e2130b,100644,9eb36604b2bc40f2c94b36851b17b3dc82e2130b,0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,100644,51478a914f46c8d919ee8691cf0f3e101e90c6b0,100644,51478a914f46c8d919ee8691cf0f3e101e90c6b0,0,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,100644,9a3a7c9958621f76711301e0b6c05d85b4f92282,100644,9a3a7c9958621f76711301e0b6c05d85b4f92282,0,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,true,true,true,true,true,true,true
9,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014.py,c5f5cfc57155f34ee2435228b3bf53ae8d1f6d81c32e097c43668c0b272fd1a2,100644,a4c25175b45589fa115da04ae7b570c39ca21962,100644,a4c25175b45589fa115da04ae7b570c39ca21962,0,c5f5cfc57155f34ee2435228b3bf53ae8d1f6d81c32e097c43668c0b272fd1a2,c5f5cfc57155f34ee2435228b3bf53ae8d1f6d81c32e097c43668c0b272fd1a2,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,100644,02f9baf39f99d41ae0dfbe384f850a2c5510f3f2,100644,02f9baf39f99d41ae0dfbe384f850a2c5510f3f2,0,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,true,true,true,true,true,true,true
