precondition_order,precondition_id,precondition_group,precondition_subject,required_state,observed_state,completion_status,implementation_blocking,evidence_paths,evidence_sha256,resolution_or_gap,recommended_owner
1,PRE_001,rule_identity,canonical ADMIT_015 registry row,exact canonical identity,verified committed Step14AT row,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,identity frozen,ADMIT_015 contract owner
2,PRE_002,rule_identity,failure severity and reason,blocking|training_not_authorized,verified committed registry fields,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,current identity frozen,ADMIT_015 contract owner
3,PRE_003,rule_identity,current-step no-I/O flags,network=false|raw=false,verified committed registry fields,complete,false,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,identity frozen,ADMIT_015 contract owner
4,PRE_004,current_runtime_state,registration state,known but not registered,Exact14 manifest verified,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,preserve until implementation,runtime owner
5,PRE_005,current_runtime_state,callable and adapter state,false|false,Exact14 sets verified,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,preserve fail closed,runtime owner
6,PRE_006,current_runtime_state,open coverage,ADMIT_015 only,Exact30 coverage row verified,complete,false,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_issue_readiness_inventory.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,f457da61bffade18999af5c069d237c30aa30a0c63efb8bb14130935fb0757ec|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,zero transition in this audit,runtime owner
7,PRE_007,authorization_envelope_precedent,candidate envelope name,stage_authorization_context,ADMIT_014 committed precedent,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,precedent only; ADMIT_015 contract open,authorization contract owner
8,PRE_008,authorization_envelope_precedent,candidate target key coexistence,current_stage_training_authorized,Step14AU-A committed coexistence name,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,name precedent is not final contract,authorization contract owner
9,PRE_009,authorization_envelope_precedent,trusted producer,trusted_future_stage_orchestrator,ADMIT_014 committed precedent,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,must be independently frozen for ADMIT_015,authorization contract owner
10,PRE_010,training_authorization_responsibility,unique recommended authority path,stage_authorization_context.current_stage_training_authorized,supported by committed structural precedent,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0|b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,formal authorization contract required,authorization contract owner
11,PRE_011,training_authorization_responsibility,omission behavior,omission must fail closed,ADMIT_014 fail-closed precedent,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_truth_matrix.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,e4f39f5178b91906639670f5c1ddb1c02b40c802de9ce386aee2a6b6d49f8482|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,ADMIT_015 reason not frozen,authorization contract owner
12,PRE_012,training_authorization_responsibility,replay behavior,no cross-invocation replay,ADMIT_014 invocation-local precedent,supported_but_admit015_contract_not_frozen,true,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_value_and_trust_contract.csv|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json,b22f02efdd53dce995730a05cc5c12ffa659c2d98b345afc663b118cc104752d|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40,ADMIT_015 freshness contract open,authorization contract owner
13,PRE_013,ADMIT_014_ADMIT_015_isolation,download true does not authorize training,strictly independent,audited required isolation,complete,false,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014.py|data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_014_v1/covapie_admit_001_to_014_runtime_manifest.json|data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,c5f5cfc57155f34ee2435228b3bf53ae8d1f6d81c32e097c43668c0b272fd1a2|bf7bbe3c2158f661c6e71835bf603af76ffbb315d4ef377c9f72da246619ba40|1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,isolation rule frozen,authorization contract owner
