sample_preparation_input_id,pdb_id,expected_het_id,atom_site_id,type_symbol,atom_name,ligand_comp_id,auth_asym_id,auth_seq_id,label_asym_id,label_seq_id,x,y,z,occupancy,altloc,model_num,is_covalent_ligand_atom,source_raw_file
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1650,C,C1,PCM,A,300,B,,-26.764,-10.177,57.228,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1651,C,C2,PCM,A,300,B,,-25.498,-10.642,57.582,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1652,C,C3,PCM,A,300,B,,-24.846,-11.610,56.789,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1653,C,C4,PCM,A,300,B,,-25.453,-12.120,55.644,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1654,C,C5,PCM,A,300,B,,-26.718,-11.648,55.303,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1655,C,C6,PCM,A,300,B,,-27.377,-10.678,56.092,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1656,C,C7,PCM,A,300,B,,-24.756,-13.159,54.788,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1657,O,O8,PCM,A,300,B,,-24.069,-14.238,55.461,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1658,C,C9,PCM,A,300,B,,-24.195,-15.652,55.363,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1659,O,O10,PCM,A,300,B,,-24.831,-16.326,56.186,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1660,C,C11,PCM,A,300,B,,-23.573,-17.642,54.109,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1661,C,C12,PCM,A,300,B,,-23.560,-17.982,52.626,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1662,C,C13,PCM,A,300,B,,-24.786,-17.579,51.819,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1663,C,C14,PCM,A,300,B,,-24.841,-16.076,51.573,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1664,C,C15,PCM,A,300,B,,-24.703,-18.309,50.527,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1665,C,C16,PCM,A,300,B,,-22.363,-18.244,54.805,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1666,O,O17,PCM,A,300,B,,-21.256,-18.251,54.265,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1667,N,N18,PCM,A,300,B,,-22.583,-18.724,56.022,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1668,C,C19,PCM,A,300,B,,-21.637,-19.286,56.846,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1669,N,N20,PCM,A,300,B,,-23.566,-16.201,54.333,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1670,C,C21,PCM,A,300,B,,-21.165,-20.682,56.537,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1671,C,C22,PCM,A,300,B,,-22.102,-19.322,58.293,1.00,,1,True,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1672,O,O23,PCM,A,300,B,,-22.305,-18.200,58.723,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1673,C,C24,PCM,A,300,B,,-13.389,-26.504,60.056,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1674,C,C25,PCM,A,300,B,,-13.115,-25.194,59.679,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1675,C,C26,PCM,A,300,B,,-14.036,-24.482,58.914,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1676,C,C27,PCM,A,300,B,,-15.230,-25.065,58.518,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1677,C,C28,PCM,A,300,B,,-15.493,-26.373,58.903,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1678,C,C29,PCM,A,300,B,,-14.577,-27.093,59.669,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1679,C,C30,PCM,A,300,B,,-16.202,-24.308,57.660,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1680,O,O31,PCM,A,300,B,,-16.990,-24.941,56.627,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1681,C,C32,PCM,A,300,B,,-18.406,-24.838,56.563,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1682,O,O33,PCM,A,300,B,,-19.076,-25.665,55.956,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1683,C,C34,PCM,A,300,B,,-20.388,-23.557,57.264,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1684,C,C35,PCM,A,300,B,,-21.148,-24.782,57.776,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
CYS_SG_EXPANSION_PREP_000003,1AU3,PCM,1685,C,C36,PCM,A,300,B,,-21.798,-25.750,56.795,1.00,,1,False,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif
