candidate_source_item,source_artifact_or_policy,expected_status,observed_status,used_for_future_download_manifest,candidate_source_contract_passed,qa_comment
metadata_csv_candidate_source,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,exists_and_initial_candidate_universe_source,True,True,True,Metadata CSV remains the source of truth for the initial candidate universe.
allowlist_candidate_source_if_present,data/derived/covalent_small/covapie_candidate_allowlist_qa_gate_v0,optional_supporting_source_if_present,True,True,True,Allowlist QA artifacts may constrain future pilot candidates when present.
confirmed_extraction_candidate_source_if_present,data/derived/covalent_small/covapie_batch_raw_read_extraction_qa_gate_v0,optional_supporting_source_if_present,False,True,True,Confirmed extraction QA may support later download manifests when available.
feature_semantics_qa_candidate_source,data/derived/covalent_small/covapie_feature_semantics_resolution_smoke_qa_gate_v0,exists_as_readiness_boundary_source,True,True,True,Step 14A gates readiness but does not make features training-final.
pdb_id_required,future_download_manifest_policy,required,required_by_future_manifest,True,True,Every future download row must include a PDB ID.
covalent_event_id_required,future_download_manifest_policy,required,required_by_future_manifest,True,True,Future manifests must not rely on PDB ID alone for event identity.
residue_atom_pair_required,future_download_manifest_policy,required,required_by_future_manifest,True,True,Residue atom identity is required before extraction and training.
ligand_identifier_required,future_download_manifest_policy,required,required_by_future_manifest,True,True,Ligand identifier or HET code is required for future raw download/extraction joins.
duplicate_candidate_policy,future_download_manifest_policy,deduplicate_by_event_key,design_only_no_manifest_written,True,True,Duplicates must be resolved before future pilot download execution.
excluded_candidate_policy,future_download_manifest_policy,exclude_with_reason,design_only_no_manifest_written,True,True,Excluded candidates stay out of future download manifests with explicit reasons.
