matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_exact13_json,formal_evaluator_called,oracle_called,case_passed
1,context,CONTEXT_BATCH,batch_context non-None,dispatch_error,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,,false,false,true
2,context,CONTEXT_EVALUATION,evaluation_context non-None,dispatch_error,ADMIT_005_EVALUATION_CONTEXT_MUST_BE_NONE,,false,false,true
3,context,CONTEXT_DOWNLOAD,download_result_context non-None,dispatch_error,ADMIT_005_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,,false,false,true
4,context,CONTEXT_STAGE,stage_authorization_context non-None,dispatch_error,ADMIT_005_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,,false,false,true
5,context,CONTEXT_MULTI,all four contexts non-None,first_context_dispatch_error,ADMIT_005_BATCH_CONTEXT_MUST_BE_NONE,,false,false,true
6,candidate,CANDIDATE_NON_MAPPING,candidate_record non-Mapping,unified_invalid_result,ADMIT_005_CANDIDATE_RECORD_MAPPING_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_RECORD_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",false,false,true
7,candidate,CANDIDATE_MISSING_RESIDUE,required residue absent,unified_invalid_result,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",false,false,true
8,candidate,CANDIDATE_MISSING_ATOM,residue present and atom absent,unified_invalid_result,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_atom_name"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",false,false,true
9,candidate,CANDIDATE_EXTRA_FIELDS,extra fields present,ignore_extra_and_evaluate,,,true,true,true
10,candidate,CANDIDATE_MAPPING_SUBCLASS,Mapping subclass,accept_and_evaluate,,,true,true,true
11,candidate,CANDIDATE_NOT_MUTATED,mutable Mapping,read_only_no_copy_no_mutation,,,true,true,true
12,candidate,CANDIDATE_SCALAR_IDENTITY,two required scalar objects,pass_original_identity_positionally,,,true,true,true
13,candidate,CANDIDATE_REQUIRED_ORDER,both required fields absent,residue_missing_precedes_atom_missing,ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CANDIDATE_FIELD_MISSING:covalent_residue_name"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",false,false,true
