safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
predecessor_sha_validation,true,true,true
standalone_api_result_validation,true,true,true
phase4_exact13_exact6_validation,true,true,true
candidate_projection_contract_design,true,true,true
context_routing_contract_design,true,true,true
source_validation_contract_design,true,true,true
independent_oracle_equivalence_design,true,true,true
unified_result_mapping_design,true,true,true
synthetic_truth_construction,true,true,true
issue_preservation,true,true,true
raw_read,false,false,true
provider_parser,false,false,true
candidate_materialization,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
phase4_runtime_modification,false,false,true
registry_modification,false,false,true
adapter_implementation,false,false,true
admit_005_registration,false,false,true
admit_006_work,false,false,true
evaluate_all_rules,false,false,true
combined_verdict,false,false,true
cross_rule_aggregation,false,false,true
network_download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
