contract_id,semantic_name,contract_scope,required_inputs,validation_rule,success_effect,failure_effect,reason_code,fails_closed,verified
SMARTS_GATE_001,local reaction-center graph is not complete warhead,evidence_boundary,canonical_local_graph_rule_json,treat radius-1 graph only as lower-bound reaction-center evidence,complete-warhead proposal remains required,block SMARTS materialization,local_graph_not_complete_warhead,true,true
SMARTS_GATE_002,pre-reaction parent graph is authoritative,graph_authority,parent atom and bond authorities,derive ligand-side topology only from SHA-verified pre-reaction parent graph,pre-reaction proposal input admitted,block proposal and SMARTS materialization,pre_reaction_parent_graph_unavailable,true,true
SMARTS_GATE_003,known reactive atom must be included,atom_set,observed-to-parent reactive mapping,complete warhead atom set contains the known reactive parent atom,reactive atom inclusion verified,block SMARTS materialization,reactive_atom_missing_from_warhead,true,true
SMARTS_GATE_004,leaving-group evidence uses pre-reaction parent graph,atom_set,parent atom and bond authorities; reaction delta,retain every atom belonging to the pre-reaction warhead including leaving group atoms,leaving-group evidence preserved,block SMARTS materialization,pre_reaction_leaving_group_evidence_missing,true,true
SMARTS_GATE_005,complete warhead atom set is required,atom_set,reviewable per-sample atom-set proposal,require an exact complete pre-reaction warhead atom set,atom-set prerequisite satisfied,block SMARTS materialization,complete_warhead_atom_set_missing,true,true
SMARTS_GATE_006,warhead atom set must be connected,atom_set,complete warhead atom set; parent bonds,induced warhead subgraph is connected,connected query may be designed,block SMARTS materialization,warhead_atom_set_disconnected,true,true
SMARTS_GATE_007,attachment boundary must be exact-one,boundary,warhead atom set; complete parent graph,exactly one bond crosses warhead to nonwarhead,single attachment boundary verified,block SMARTS materialization,attachment_boundary_not_exact_one,true,true
SMARTS_GATE_008,attachment atom must be inside warhead set,boundary,attachment boundary; warhead atom set,warhead-side boundary atom is a member of the warhead atom set,attachment atom admitted,block SMARTS materialization,attachment_atom_outside_warhead,true,true
SMARTS_GATE_009,atom-map policy must be deterministic,atom_map,complete atom set; reactive and attachment atoms,assign sorted unique positive exact integer maps deterministically,map fields may be populated,block SMARTS materialization,atom_map_policy_unfrozen,true,true
SMARTS_GATE_010,bond-order query semantics must be frozen,query_semantics,parent bond authority; query policy,freeze expected pre-reaction bond-order query encoding,bond queries may be emitted,block SMARTS materialization,bond_order_query_semantics_unfrozen,true,true
SMARTS_GATE_011,formal-charge query semantics must be frozen,query_semantics,parent formal charges; query policy,freeze formal-charge query encoding,charge queries may be emitted,block SMARTS materialization,formal_charge_query_semantics_unfrozen,true,true
SMARTS_GATE_012,aromaticity/H/chirality semantics must be frozen,query_semantics,explicit query policy,freeze aromaticity hydrogen-count and chirality query semantics,remaining atom queries may be emitted,block SMARTS materialization,aromaticity_H_chirality_semantics_unfrozen,true,true
SMARTS_GATE_013,class-wide exact-one match validation is required,validation,candidate query; every supporting parent graph,RDKit 2022.03.2 yields exactly one complete-warhead match per supporting graph,candidate may enter human review,block SMARTS review,class_wide_exact_one_validation_missing,true,true
SMARTS_GATE_014,candidate SMARTS is not approved SMARTS,approval_boundary,materialized candidate query,candidate status is candidate_not_reviewed and never auto-approved,candidate remains reviewable only,block downstream approval,candidate_misdeclared_approved,true,true
SMARTS_GATE_015,SMARTS human review remains independent,human_review,validated candidate SMARTS; blank review record,a real human review decision is required independently,approved or revised state may be recorded by a later authorized step,block approved rule,SMARTS_human_review_missing,true,true
SMARTS_GATE_016,downstream role/mask/model/training gates remain closed,downstream_boundary,approved rule and later human-gold prerequisites,keep role mask model and training readiness false,design remains metadata-only,fail the transaction,downstream_gate_opened,true,true
