source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,provides_current_value,verified
src/covalent_ext/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1.py,052be7badc65a7eaeec1568e5954a2141a29c08bd0ef85c203e758daaa8b78ec,1343,11/11,lifecycle and review-package production contract,predecessor_production_contract,false,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_manifest.json,677034c0b8822e0b1476e28d00bb8dda5c8e53f5f42fcda790d9c4a81fa8a90b,1,11/11,transaction; counts; review and downstream state,review_package_manifest,true,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_review_package_index.csv,b62a9d884b08b3b5132f64ca33531497343f208925e3a64eadd7980eee0d341f,18,18/18,package identities and readiness,review_package_index_authority,true,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_cys_sg_candidate_class_review_record_templates.csv,596e218d1d29e16d65edfa1c804b63a528668ffc4083d4089427eda556f37ce1,7,7/7,class links and blank review state,blank_class_review_templates,true,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_sample_assignment_review_record_templates.csv,662e95d3403a694da15dedd60dbdb81f98a9e404533693643b3721cd83a18bc1,11,11/11,sample links and blank review state,blank_sample_review_templates,true,true
src/covalent_ext/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_gate_design_v1.py,08b7d7aeacfcd7065e6ea8aa2ae27b2cc4959d476fbb1568a5231307d7e308a1,1603,11/11,review status and schema contracts,review_gate_production_contract,false,true
src/covalent_ext/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1.py,fe6c67940efef89290b2f276f9fb4c39245468181d52b219951a6f9ca7f454aa,1418,11/11,assignment contract and candidate-only boundary,assignment_production_contract,false,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,11,11/11,sample/class/rule/family/reactive atom/graph links,Current11_assignment_authority,true,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_cys_sg_warhead_type_candidate_class_vocabulary.csv,e78b83340d9df0afa6bbffd5dc56708ee47023680367f7a8acd9883e7c21602d,7,7/7,class identities and support counts,candidate_class_vocabulary,true,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_registry.csv,230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353,7,7/7,family identity and target condition,candidate_family_registry,true,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,7,7/7,radius-1 local graph JSON/SHA and reaction delta,candidate_local_rule_registry,true,true
src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,1642,11/11,WARHEAD_RULE_FIELDS exact12 and downstream prerequisites,downstream_role_contract,false,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_atom_authority.csv,d50b052c2ed2573ccfdcf66470a077744ad11f4a083daee11f20d794b3b23fe7,298,11/11;9/9 components,pre-reaction heavy atoms; charges; graph SHA,pre_reaction_parent_atom_authority,true,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_bond_authority.csv,26957b9f78217c808d2dc021cfab1a2bf78dd1708c46c49f220ae32a3a09ebbf,309,11/11;9/9 components,pre-reaction heavy bonds; bond orders; graph SHA,pre_reaction_parent_bond_authority,true,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,323,11/11,known reactive observed-to-parent atom mapping,reactive_parent_atom_mapping_authority,true,true
