warhead_type_candidate_class_id,missing_authority,current_evidence,why_required,would_block_atom_set_proposal,would_block_SMARTS_materialization,would_block_SMARTS_review,resolution_owner,recommended_resolution_step,verified
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,complete_warhead_atom_set_authority,radius-1 local reaction-center signature and full parent graph only,"a candidate SMARTS must cover the reviewed complete warhead, not only its center",false,true,true,engineering_then_human_review,materialize and review per-sample pre-reaction warhead atom-set proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,attachment_boundary_authority,full parent graph exists but no warhead/nonwarhead partition exists,a ligand-side query needs an exact-one external attachment boundary,false,true,true,engineering_then_human_review,materialize and review per-sample attachment-boundary proposals,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,deterministic_atom_map_policy,reactive parent atom identity exists; query atom maps do not,"WARHEAD_RULE_FIELDS require deterministic reactive, attachment, and atom-set maps",false,true,true,engineering_then_human_review,freeze deterministic atom-map assignment after atom-set review,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,bond_order_query_semantics,normalized parent bond orders exist without SMARTS query policy,parent values do not uniquely determine SMARTS bond query syntax,false,true,true,engineering_then_human_review,freeze RDKit bond-order query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,formal_charge_query_semantics,parent atom formal charges exist without SMARTS query policy,parent values do not uniquely determine charge query constraints,false,true,true,engineering_then_human_review,freeze RDKit formal-charge query semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,aromaticity_and_hydrogen_query_semantics,"normalized parent bond authority includes aromatic bond disposition, while atom-level aromaticity/H/chirality SMARTS query policy remains unfrozen",query specificity and class-wide behavior depend on explicit aromaticity/H/chirality policy,false,true,true,engineering_then_human_review,freeze RDKit aromaticity hydrogen-count and chirality semantics,true
COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,class_wide_exact_one_complete_warhead_match_validation,exact-one radius-1 local-rule assignments exist only,local-rule uniqueness is not complete-warhead query uniqueness,false,true,true,engineering_then_human_review,validate the later candidate against every supporting parent graph,true
