failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,contract_registry_row_count,readiness_matrix_row_count,authority_gap_row_count,proposal_materialization_ready,SMARTS_materialization_ready,role_proposal_generation_ready,mask_materialization_ready,model_integration_ready,training_ready,verified
BASE source missing,base_source_present=false,base_source_present,false,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,false,false,true
BASE source SHA mismatch,base_source_sha_matches=false,base_source_sha_matches,false,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
review-package transaction not succeeded,review_package_transaction_succeeded=false,review_package_transaction_succeeded,false,review_package_transaction_not_succeeded,review_package_transaction_not_succeeded,true,true,0,0,0,false,false,false,false,false,false,true
review-package materialized false,review_package_materialized=false,review_package_materialized,false,review_package_materialized_false,review_package_materialized_false,true,true,0,0,0,false,false,false,false,false,false,true
class count not 7,class_count=6,class_count,6,class_count_not_7,class_count_not_7,true,true,0,0,0,false,false,false,false,false,false,true
sample count not 11,sample_count=10,sample_count,10,sample_count_not_11,sample_count_not_11,true,true,0,0,0,false,false,false,false,false,false,true
duplicate class identity,duplicate_class_identity=true,duplicate_class_identity,true,duplicate_class_identity,duplicate_class_identity,true,true,0,0,0,false,false,false,false,false,false,true
duplicate sample identity,duplicate_sample_identity=true,duplicate_sample_identity,true,duplicate_sample_identity,duplicate_sample_identity,true,true,0,0,0,false,false,false,false,false,false,true
class-rule-family link mismatch,class_rule_family_links_match=false,class_rule_family_links_match,false,class_rule_family_link_mismatch,class_rule_family_link_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
sample-class-rule-family link mismatch,sample_class_rule_family_links_match=false,sample_class_rule_family_links_match,false,sample_class_rule_family_link_mismatch,sample_class_rule_family_link_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
canonical local graph JSON/SHA mismatch,local_graph_json_sha_matches=false,local_graph_json_sha_matches,false,canonical_local_graph_JSON_SHA_mismatch,canonical_local_graph_JSON_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
local center reactive flag missing,local_center_reactive_flag_present=false,local_center_reactive_flag_present,false,local_center_reactive_flag_missing,local_center_reactive_flag_missing,true,true,0,0,0,false,false,false,false,false,false,true
target condition not CYS SG,target_is_cys_sg=false,target_is_cys_sg,false,target_condition_not_CYS_SG,target_condition_not_CYS_SG,true,true,0,0,0,false,false,false,false,false,false,true
parent atom authority missing,parent_atom_authority_present=false,parent_atom_authority_present,false,parent_atom_authority_missing,parent_atom_authority_missing,true,true,0,0,0,false,false,false,false,false,false,true
parent bond authority missing,parent_bond_authority_present=false,parent_bond_authority_present,false,parent_bond_authority_missing,parent_bond_authority_missing,true,true,0,0,0,false,false,false,false,false,false,true
parent graph SHA mismatch,parent_graph_sha_matches=false,parent_graph_sha_matches,false,parent_graph_SHA_mismatch,parent_graph_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
reactive parent atom mapping missing,reactive_parent_atom_mapping_present=false,reactive_parent_atom_mapping_present,false,reactive_parent_atom_mapping_missing,reactive_parent_atom_mapping_missing,true,true,0,0,0,false,false,false,false,false,false,true
local graph incorrectly declared complete warhead,local_graph_declared_complete_warhead=true,local_graph_declared_complete_warhead,true,local_graph_incorrectly_declared_complete_warhead,local_graph_incorrectly_declared_complete_warhead,true,true,0,0,0,false,false,false,false,false,false,true
class support list mismatch,class_support_lists_match=false,class_support_lists_match,false,class_support_list_mismatch,class_support_list_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
contract count not 16,contract_count=15,contract_count,15,contract_count_not_16,contract_count_not_16,true,true,0,0,0,false,false,false,false,false,false,true
readiness row count/order mismatch,readiness_row_order_matches=false,readiness_row_order_matches,false,readiness_row_count_or_order_mismatch,readiness_row_count_or_order_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
unresolved authority incorrectly declared available,unresolved_authority_declared_available=true,unresolved_authority_declared_available,true,unresolved_authority_incorrectly_declared_available,unresolved_authority_incorrectly_declared_available,true,true,0,0,0,false,false,false,false,false,false,true
candidate SMARTS prefilled,candidate_smarts_prefilled=true,candidate_smarts_prefilled,true,candidate_SMARTS_prefilled,candidate_SMARTS_prefilled,true,true,0,0,0,false,false,false,false,false,false,true
candidate SMARTS status prematurely advanced,"candidate_smarts_status=""candidate_not_reviewed""",candidate_smarts_status,"""candidate_not_reviewed""",candidate_SMARTS_status_prematurely_advanced,candidate_SMARTS_status_prematurely_advanced,true,true,0,0,0,false,false,false,false,false,false,true
SMARTS materialization readiness prematurely opened,smarts_materialization_readiness_open=true,smarts_materialization_readiness_open,true,SMARTS_materialization_readiness_prematurely_opened,SMARTS_materialization_readiness_prematurely_opened,true,true,0,0,0,false,false,false,false,false,false,true
SMARTS review readiness prematurely opened,smarts_review_readiness_open=true,smarts_review_readiness_open,true,SMARTS_review_readiness_prematurely_opened,SMARTS_review_readiness_prematurely_opened,true,true,0,0,0,false,false,false,false,false,false,true
approved rule prematurely opened,approved_rule_open=true,approved_rule_open,true,approved_rule_prematurely_opened,approved_rule_prematurely_opened,true,true,0,0,0,false,false,false,false,false,false,true
role/mask/model/training readiness opened,downstream_readiness_open=true,downstream_readiness_open,true,downstream_readiness_opened,downstream_readiness_opened,true,true,0,0,0,false,false,false,false,false,false,true
partial materialization attempted,partial_materialization_attempted=true,partial_materialization_attempted,true,partial_materialization_attempted,partial_materialization_attempted,true,true,0,0,0,false,false,false,false,false,false,true
execution boundary crossed,execution_boundary_crossed=true,execution_boundary_crossed,true,execution_boundary_crossed,execution_boundary_crossed,true,true,0,0,0,false,false,false,false,false,false,true
reaction delta / rule-registry leaving-group contract mismatch,leaving_group_rule_contract_matches=false,leaving_group_rule_contract_matches,false,leaving_group_rule_contract_mismatch,leaving_group_rule_contract_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
parent leaving-group atom/bond evidence mismatch,parent_leaving_group_evidence_matches=false,parent_leaving_group_evidence_matches,false,parent_leaving_group_evidence_mismatch,parent_leaving_group_evidence_mismatch,true,true,0,0,0,false,false,false,false,false,false,true
