contract_id,contract_kind,contract_subject,contract_value,contract_status
API_001,public_api,callable,"evaluate_admit_005(residue_name, atom_name)",frozen
API_002,public_api,execution,pure_in_memory_deterministic_no_input_mutation,frozen
RESULT_001,result_contract,type,frozen_dataclass,frozen
RESULT_002,result_contract,field_count,10,frozen
RESULT_003,result_contract,field_order,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_residue_name|canonical_residue_atom_name|validated_candidate_fields|consumed_candidate_fields|evaluator_io_used,frozen
RESULT_004,result_contract,outcomes,passed|rejected|invalid,frozen
RESULT_005,result_contract,passed,true_iff_outcome_passed,frozen
RESULT_006,result_contract,blocks_candidate,true_iff_outcome_not_passed,frozen
RESULT_007,result_contract,outcome_reason_canonical_binding,passed=>empty_reason_and_exact_CYS_SG|rejected=>scope_rejection_reason_and_valid_non_CYS_SG|invalid=>field_specific_reason_controls_partial_canonical_state,frozen
RESIDUE_001,scalar_semantics,residue_type,exact_str_nonempty_ascii,frozen
RESIDUE_002,scalar_semantics,residue_grammar,"[A-Za-z0-9]{1,32}",frozen
RESIDUE_003,scalar_semantics,residue_canonical,uppercase_without_repair,frozen
ATOM_001,scalar_semantics,atom_type,exact_str_nonempty_ascii,frozen
ATOM_002,scalar_semantics,atom_whitespace,all_isspace_forbidden,frozen
ATOM_003,scalar_semantics,atom_markers,.|?_forbidden,frozen
ATOM_004,scalar_semantics,atom_generic_identity,generic_nonmarker_no_whitespace_allowed,frozen
ATOM_005,scalar_semantics,atom_canonical,exact_preserve_without_repair,frozen
SCOPE_001,scope_semantics,passed,canonical_CYS_and_exact_SG,frozen
SCOPE_002,scope_semantics,rejected,valid_identity_outside_CYS_SG,frozen
SCOPE_003,scope_semantics,precedence,residue_then_atom_then_scope,frozen
VALIDATED_001,mapping_contract,reason_controlled_validated_fields,residue_invalid_reason=>no_canonical_fields|atom_invalid_reason=>canonical_residue_only|passed_or_rejected=>canonical_residue_then_atom,frozen
ORACLE_001,oracle_contract,independent_helpers,scope_design_plus_generic_atom_validator,frozen
BOUNDARY_001,authorization_boundary,excluded_inputs,candidate_mapping_and_context_absent,frozen
BOUNDARY_002,authorization_boundary,runtime_registry,phase4_unchanged_admit005_unregistered,frozen
