safety_item,required_status,observed_status,safety_passed,blocking_reason
frozen_metadata_sources_lstat_hash_read,true,true,true,
exact_raw_path_component_opens,true,true,true,
exact_raw_fd_fstat,true,true,true,
exact_raw_fd_read,true,true,true,
exact_raw_fd_sha256,true,true,true,
git_state_checks_exact_11,true,true,true,
raw_directory_listing_or_search,false,false,true,
raw_decode,false,false,true,
raw_parse,false,false,true,
raw_write,false,false,true,
raw_modification,false,false,true,
network_access,false,false,true,
registry_access,false,false,true,
checkpoint_access,false,false,true,
p5b_parser_called,false,false,true,
p4_provider_called,false,false,true,
real_provider_rows_materialized,false,false,true,
admission_modified,false,false,true,
queue_or_download,false,false,true,
torch_numpy_model_loss_training,false,false,true,
