contract_item_id,contract_area,field_name,requirement,expected_value,observed_value,contract_passed,blocking_reason
LOCEXT_001,lineage_scope,,D2 predecessor validated,covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1,covapie_bulk_download_admission_ligand_comp_id_semantics_integration_gate_v1,true,
LOCEXT_002,lineage_scope,,current effective fields,17,17,true,
LOCEXT_003,lineage_scope,,proposed field count,5,5,true,
LOCEXT_004,lineage_scope,,proposed field names exact,covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,true,
LOCEXT_005,lineage_scope,,proposed post-extension count,22,22,true,
LOCEXT_006,lineage_scope,,design only,true,true,true,
LOCEXT_007,lineage_scope,,integration not applied,false,false,true,
LOCEXT_008,lineage_scope,,ADMIT_004 remains not ready,false,false,true,
LOCEXT_009,lineage_scope,,five masks include scaffold_only/B3,true,true,true,
LOCEXT_010,namespace,covalent_residue_locator_namespace,exact Python str,true,true,true,
LOCEXT_011,namespace,covalent_residue_locator_namespace,enum auth or label,auth|label,auth|label,true,
LOCEXT_012,namespace,covalent_residue_locator_namespace,lowercase canonical only,true,true,true,
LOCEXT_013,namespace,covalent_residue_locator_namespace,no trim,true,true,true,
LOCEXT_014,namespace,covalent_residue_locator_namespace,no coercion,true,true,true,
LOCEXT_015,namespace,covalent_residue_locator_namespace,chain and index share namespace,chain_namespace==index_namespace==locator_namespace,chain_namespace==index_namespace==locator_namespace,true,
LOCEXT_016,namespace,covalent_residue_locator_namespace,mixed namespace forbidden,COVALENT_RESIDUE_LOCATOR_MIXED_NAMESPACE_FORBIDDEN,COVALENT_RESIDUE_LOCATOR_MIXED_NAMESPACE_FORBIDDEN,true,
LOCEXT_017,namespace,covalent_residue_locator_namespace,namespace not hidden in chain or index,separate_candidate_field,separate_candidate_field,true,
LOCEXT_018,insertion,covalent_residue_insertion_code_state,exact state type,true,true,true,
LOCEXT_019,insertion,covalent_residue_insertion_code_state,state enum,absent|present|unknown,absent|present|unknown,true,
LOCEXT_020,insertion,covalent_residue_insertion_code_state,absent state expressible,true,true,true,
LOCEXT_021,insertion,covalent_residue_insertion_code_state,present state expressible,true,true,true,
LOCEXT_022,insertion,covalent_residue_insertion_code_state,unknown state expressible,true,true,true,
LOCEXT_023,insertion,covalent_residue_insertion_code,absent requires empty,true,true,true,
LOCEXT_024,insertion,covalent_residue_insertion_code,present requires valid nonempty base value,true,true,true,
LOCEXT_025,insertion,covalent_residue_insertion_code,unknown requires empty,true,true,true,
LOCEXT_026,insertion,covalent_residue_insertion_code_state,unknown blocks ADMIT_004,true,true,true,
LOCEXT_027,insertion,covalent_residue_insertion_code_state,pure-number residue index does not infer absence,no_inference,no_inference,true,
LOCEXT_028,insertion,covalent_residue_insertion_code_state,parser missing insertion tag does not imply absent,unknown,unknown,true,
LOCEXT_029,insertion,covalent_residue_insertion_code,present value grammar fully frozen,false,false,true,
LOCEXT_030,provenance_source,covalent_residue_locator_provenance_source_id,exact Python str,true,true,true,
LOCEXT_031,provenance_source,covalent_residue_locator_provenance_source_id,syntax and length 1-256,"^[A-Za-z0-9][A-Za-z0-9._:/-]{0,255}$","^[A-Za-z0-9][A-Za-z0-9._:/-]{0,255}$",true,
LOCEXT_032,provenance_source,covalent_residue_locator_provenance_source_id,distinct from candidate and duplicate identity,distinct_identity,distinct_identity,true,
LOCEXT_033,provenance_source,covalent_residue_locator_provenance_source_id,future caller provides value,future_caller,future_caller,true,
LOCEXT_034,provenance_source,covalent_residue_locator_provenance_source_id,evaluator does not dereference source,no_dereference,no_dereference,true,
LOCEXT_035,provenance_sha256,covalent_residue_locator_provenance_sha256,exact Python str,true,true,true,
LOCEXT_036,provenance_sha256,covalent_residue_locator_provenance_sha256,lowercase 64 hex,^[0-9a-f]{64}$,^[0-9a-f]{64}$,true,
LOCEXT_037,provenance_sha256,covalent_residue_locator_provenance_sha256,no sha256 prefix,true,true,true,
LOCEXT_038,provenance_sha256,covalent_residue_locator_provenance_sha256,source ID and hash paired,both_required,both_required,true,
LOCEXT_039,provenance_sha256,covalent_residue_locator_provenance_sha256,evaluator does not dereference source,no_dereference,no_dereference,true,
LOCEXT_040,safety,,no raw registry candidate download or training; feature audit required,true,true,true,
