sample_index_row_id,pdb_id,selected_chain_id,selected_residue_index,inferred_locator_namespace,auth_label_conflict_observed,insertion_code_state,insertion_code_value,provenance_source_id_backfillable,provenance_sha256_backfillable,backfill_classification,admissible_for_e1_after_schema_extension_only,audit_passed,blocking_reason
CYS_SG_SAMPLE_INDEX_000001,6BV6,A,346,auth,true,unknown,,true,true,AUTH_LABEL_CONFLICT,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000002,6BV8,A,353,auth,true,unknown,,true,true,AUTH_LABEL_CONFLICT,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000003,6BV5,A,353,auth,true,unknown,,true,true,AUTH_LABEL_CONFLICT,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000004,1AEC,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000005,1AIM,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000006,1AU3,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000007,1AU4,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000008,1AYU,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000009,1AYV,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000010,1AYW,A,25,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
CYS_SG_SAMPLE_INDEX_000011,1B02,A,161,auth,false,unknown,,true,true,NAMESPACE_PROVABLE_INSERTION_UNKNOWN,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
