planned_step,planned_action,allowed_inputs,allowed_outputs_future_step,blocked_outputs_current_step,required_preconditions,metadata_smoke_plan_passed
read_dataloader_smoke_design_gate,read this design manifest/contracts,data/derived/covalent_small/covapie_dataloader_smoke_design_gate_v0,none current step,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,this gate passed,True
read_interface_smoke_preview,read 20x35 interface preview,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,metadata smoke QA rows,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,Step 13BR/13BS passed,True
validate_preview_shape_20x35,validate shape only,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,metadata shape audit,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,Step 13BS passed,True
construct_metadata_dataset_shim_future_step,construct additive Python metadata shim,interface preview rows,metadata-only shim module/output,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,this design gate,True
validate_len_future_step,validate __len__ == 20,metadata dataset shim,metadata len audit,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,metadata shim created,True
validate_getitem_keys_future_step,validate Python dict keys,metadata dataset shim,metadata getitem audit,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,metadata shim created,True
validate_no_torch_no_tensor_future_step,validate no torch/tensor/checkpoint/model,module AST and manifest,safety audit,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,metadata smoke boundary,True
validate_no_original_dataloader_modification_future_step,validate original dataloader untouched,git diff,git safety audit,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,metadata smoke boundary,True
metadata_dataloader_smoke_qa_gate_future_step,future QA gate after smoke,metadata smoke artifacts,QA artifacts,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,metadata smoke passed,True
actual_dataloader_smoke_blocked_until_metadata_smoke_qa,keep actual dataloader blocked,metadata smoke QA,none current step,metadata_dataloader_smoke;actual_dataloader_smoke;final_dataset;sample_index;split;leakage;training,metadata smoke QA passed,True
