getitem_mapping_item,source_fields,future_getitem_key,expected_python_type_policy,tensorization_status,required_before_metadata_smoke,blocked_before_actual_dataloader_smoke,mapping_contract_passed
identity_metadata,dataloader_interface_smoke_row_id;final_dataset_row_id;sample_id;extracted_event_id,metadata.identity,"dict[str,str]",not_tensorized_metadata_only,required,actual adapter/tensor gate,True
split_metadata,split_unit_id,metadata.split_unit_id,str,not_tensorized_metadata_only,required,split leakage gate before training,True
protein_table_path_refs,protein_pocket_atom_table_path;protein_atom_row_count_for_event,metadata.protein_table_ref,"dict[str,str|int]",not_tensorized_metadata_only,required,raw/tensor gate,True
ligand_table_path_refs,ligand_atom_table_path;ligand_atom_row_count_for_event,metadata.ligand_table_ref,"dict[str,str|int]",not_tensorized_metadata_only,required,raw/tensor gate,True
atom_count_metadata,protein_atom_row_count_for_event;ligand_atom_row_count_for_event,metadata.atom_counts,"dict[str,int]",not_tensorized_metadata_only,required,tensor shape gate,True
mask_task_selector,mask_task_name,mask.task_name,str canonical long name,not_tensorized_metadata_only,required,tensor mask gate,True
mask_alias_display_only,mask_task_alias,mask.alias,str display only,not_tensorized_metadata_only,optional,tensor mask gate,True
conditioning_metadata,conditioning_mode;covalent_residue_conditioned,metadata.conditioning,"dict[str,str|bool]",not_tensorized_metadata_only,required,feature semantics gate,True
covalent_geometry_metadata,covalent_bond_atom_pair;covalent_bond_distance_angstrom,metadata.covalent_geometry,"dict[str,str|float]",not_tensorized_metadata_only,required,geometry feature gate,True
future_tensor_key_names_as_strings,future_protein_xyz_key;future_ligand_xyz_key;future_mask_selector_key,metadata.future_tensor_keys,"dict[str,str]",not_tensorized_metadata_only,optional,tensorization gate,True
blocker_flags,feature_semantics_known_for_training;unknown_atom_feature_policy_finalized_for_training;ready_for_training,metadata.blockers,"dict[str,bool]",not_tensorized_metadata_only,required,feature semantics gate,True
checkpoint_compatibility_refs,checkpoint_compatibility_contract_path,metadata.checkpoint_contract,str path reference,not_tensorized_metadata_only,optional,checkpoint runtime gate,True
