source_category,source_root_kind,relative_path,expected_sha256,actual_sha256,byte_count,consumed_for,sha256_verified
PUBLISHED_ATTEMPT001_OUTCOMES,REPOSITORY_PARENT,covapie-state/bulk-500-controlled-execution-v1/attempt-001/incremental_processing_outcomes_v1.json,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,d891a267dc4493cfceda33b70ab4a200d9f806e1bff38c4b6f39b69a1a3548d7,3043911,250-event incremental lane and published target predictions,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_event_model_integration_readiness_v1.csv,c7a04904b83b72128ff2b1ea472333bded8c4c04bc70230114baef9265f76cbd,c7a04904b83b72128ff2b1ea472333bded8c4c04bc70230114baef9265f76cbd,3779,exact batch001 target population and read-only split provenance,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_model_bound_structural_evidence_v1.json,cca589fa4ac372c159b2e00ba4f59a7c794e21a10f1b3fcffbd477de42cd8f2e,cca589fa4ac372c159b2e00ba4f59a7c794e21a10f1b3fcffbd477de42cd8f2e,770233,published bridge structural evidence,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_model_input_source_binding_inventory_v1.csv,02bff8eca47af169264a0bbd2ac2448d9a6c2376a29ad530177fb246cbc95d53,02bff8eca47af169264a0bbd2ac2448d9a6c2376a29ad530177fb246cbc95d53,5987,published bridge source lineage,True
PUBLISHED_BATCH001_BRIDGE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_batch001_to_existing_mixed_profile_supervision_bridge_v1/covapie_batch001_to_existing_mixed_profile_supervision_bridge_manifest_v1.json,0db31ffc0a75c8d3a742ff300e30aac0825aaf01cbfd4d79e163395f29e01ecc,0db31ffc0a75c8d3a742ff300e30aac0825aaf01cbfd4d79e163395f29e01ecc,7443,published bridge manifest,True
PUBLISHED_500_EVENT_REHEARSAL,REPOSITORY_ROOT,data/derived/covalent_small/covapie_bulk_500_new_event_scale_up_rehearsal_v1/covapie_bulk_500_acquisition_requirements_v1.json,03f8d0db72e59a6eba340fc718ed1c1e1ffcf7aebbcb96a1435c64b923851ccd,03f8d0db72e59a6eba340fc718ed1c1e1ffcf7aebbcb96a1435c64b923851ccd,219699,exact cumulative 500-event cohort and acquisition planning context,True
PUBLISHED_500_EVENT_REHEARSAL,REPOSITORY_ROOT,data/derived/covalent_small/covapie_bulk_500_new_event_scale_up_rehearsal_v1/covapie_bulk_500_new_event_cohort_v1.csv,0bc006f417604ea17e530e884c1148c99713224eb9726e15dc661f3e41bbbb4c,0bc006f417604ea17e530e884c1148c99713224eb9726e15dc661f3e41bbbb4c,232178,exact cumulative 500-event cohort and acquisition planning context,True
PUBLISHED_500_EVENT_REHEARSAL,REPOSITORY_ROOT,data/derived/covalent_small/covapie_bulk_500_new_event_scale_up_rehearsal_v1/covapie_bulk_500_scaleup_rehearsal_manifest_v1.json,d8c6d5d4ef181427cb4d1c970de8d03f75ecc976ed18ea9e1ce42f94e3cde4b9,d8c6d5d4ef181427cb4d1c970de8d03f75ecc976ed18ea9e1ce42f94e3cde4b9,16759,exact cumulative 500-event cohort and acquisition planning context,True
PUBLISHED_500_EVENT_REHEARSAL,REPOSITORY_ROOT,data/derived/covalent_small/covapie_bulk_500_new_event_scale_up_rehearsal_v1/covapie_bulk_500_scaleup_rehearsal_summary_v1.json,253b8829cd7437b6bb379fed0bf19acdb18fa8df9effa5f4aebe6b125134e1fa,253b8829cd7437b6bb379fed0bf19acdb18fa8df9effa5f4aebe6b125134e1fa,5051,exact cumulative 500-event cohort and acquisition planning context,True
PUBLISHED_HISTORICAL_OUTCOMES,REPOSITORY_ROOT,data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/bulk_processing_outcomes_v1.json,0270dd93a31427042d02f7751ab7b46679308c7f1ee5207a5560b199a6a94d57,0270dd93a31427042d02f7751ab7b46679308c7f1ee5207a5560b199a6a94d57,6845166,250 frozen historical plus 27 control outcomes,True
PUBLISHED_CANONICAL_EVENT_POPULATION,REPOSITORY_ROOT,data/derived/covalent_small/covapie_bulk_cys_sg_dataset_expansion_v1/bulk_pilot_v1/cross_source_canonical_event_manifest_v1.json,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,d3f35987af92fca669b85d62a86914c7a01bf35d867c4a779e7fc08e76445dae,5295975,canonical event identity population,True
CUMULATIVE_REGISTRY_PROVENANCE,REPOSITORY_ROOT,data/derived/covalent_small/covapie_cys_sg_dataset_expansion_pipeline_v1/5f2e_5ut_approved_v1/pipeline_run_v1.json,8f56116f02709caf2ecbbad59479dce7772c3fb83fd9aef59a7ff9f6b8233980,8f56116f02709caf2ecbbad59479dce7772c3fb83fd9aef59a7ff9f6b8233980,45233,validated frozen cumulative group provenance,True
