canonical_event_id,review_unit_id,ligand_component_id,model_integration_preview_ready,leakage_evidence_complete,leakage_classification,leakage_key,read_only_group_id,read_only_split,formal_leakage_group_id,assigned_split,group_parity,split_parity,read_only_prediction_is_authority,formal_joint_assignment_is_authority_candidate,split_admission_authoritative,split_admission_status,split_admission_reason,sample_training_admitted,model_training_activation_authorized
COVAPIE_CYS_SG_EVENT_V1:3LOK:A:CYS:345-:SG:C:DJK:C51,COVAPIE_BULK_REVIEW_UNIT_5720D0B933DA07F1,DJK,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:227960edeb205fb2b98c7d99043f8909ce56e587c2d8e9fdc535aa5d3c8acd48,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,train,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,train,true,true,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:3LOK:B:CYS:345-:SG:D:DJK:C51,COVAPIE_BULK_REVIEW_UNIT_5720D0B933DA07F1,DJK,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:227960edeb205fb2b98c7d99043f8909ce56e587c2d8e9fdc535aa5d3c8acd48,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,train,COVAPIE_EXPANSION_LEAKAGE_GROUP_B603B4C07705F93D,train,true,true,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:3I4A:A:CYS:274-:SG:C:LN5:CZ,COVAPIE_BULK_REVIEW_UNIT_EBAE6C684690C8C9,LN5,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:fd3d6a6c653ec6c2852f7ff88ab15bbf7ab06e9d54a055b5e313ca549c73fe77,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,train,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,validation,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:3I4A:B:CYS:274-:SG:D:LN5:CZ,COVAPIE_BULK_REVIEW_UNIT_EBAE6C684690C8C9,LN5,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:fd3d6a6c653ec6c2852f7ff88ab15bbf7ab06e9d54a055b5e313ca549c73fe77,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,train,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B76795E5CE26D95,validation,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:3O6T:A:CYS:37-:SG:E:PX5:C15,COVAPIE_BULK_REVIEW_UNIT_F02164FD5061B6D5,PX5,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:65ead884437070087b63b7bf1e4a80ea6dda048ba26dc012eb62577b425254a0,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,train,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,validation,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:3O6T:C:CYS:37-:SG:G:PX5:C15,COVAPIE_BULK_REVIEW_UNIT_F02164FD5061B6D5,PX5,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:65ead884437070087b63b7bf1e4a80ea6dda048ba26dc012eb62577b425254a0,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,train,COVAPIE_EXPANSION_LEAKAGE_GROUP_AD79B40D8A505F37,validation,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:3B9H:A:CYS:146-:SG:D:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,true,false,LEAKAGE_EVIDENCE_INCOMPLETE,,,UNASSIGNED_READ_ONLY,,,not_applicable,not_applicable,false,false,false,UNRESOLVED_FAIL_CLOSED,LEAKAGE_EVIDENCE_INCOMPLETE,false,false
COVAPIE_CYS_SG_EVENT_V1:3BHL:A:CYS:146-:SG:C:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,true,false,LEAKAGE_EVIDENCE_INCOMPLETE,,,UNASSIGNED_READ_ONLY,,,not_applicable,not_applicable,false,false,false,UNRESOLVED_FAIL_CLOSED,LEAKAGE_EVIDENCE_INCOMPLETE,false,false
COVAPIE_CYS_SG_EVENT_V1:3BHL:B:CYS:146-:SG:G:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,true,false,LEAKAGE_EVIDENCE_INCOMPLETE,,,UNASSIGNED_READ_ONLY,,,not_applicable,not_applicable,false,false,false,UNRESOLVED_FAIL_CLOSED,LEAKAGE_EVIDENCE_INCOMPLETE,false,false
COVAPIE_CYS_SG_EVENT_V1:3BHR:A:CYS:146-:SG:E:NDU:C6,COVAPIE_BULK_REVIEW_UNIT_3F001AD5FD754F45,NDU,true,false,LEAKAGE_EVIDENCE_INCOMPLETE,,,UNASSIGNED_READ_ONLY,,,not_applicable,not_applicable,false,false,false,UNRESOLVED_FAIL_CLOSED,LEAKAGE_EVIDENCE_INCOMPLETE,false,false
COVAPIE_CYS_SG_EVENT_V1:2ZK1:A:CYS:285-:SG:C:PTG:C8,COVAPIE_BULK_REVIEW_UNIT_E29582A478EC4247,PTG,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:de9b0d1526ac235256cb969f47ef40fdb01e8cc1481e4e10dd3823ac04763917,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,validation,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,train,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:2ZK1:B:CYS:285-:SG:D:PTG:C8,COVAPIE_BULK_REVIEW_UNIT_E29582A478EC4247,PTG,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:de9b0d1526ac235256cb969f47ef40fdb01e8cc1481e4e10dd3823ac04763917,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,validation,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,train,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
COVAPIE_CYS_SG_EVENT_V1:2ZK2:A:CYS:285-:SG:D:PTG:C8,COVAPIE_BULK_REVIEW_UNIT_E29582A478EC4247,PTG,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:de9b0d1526ac235256cb969f47ef40fdb01e8cc1481e4e10dd3823ac04763917,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,validation,COVAPIE_EXPANSION_LEAKAGE_GROUP_3157B39692D4D3EA,train,true,false,false,true,true,FORMALLY_ADMITTED_TO_FROZEN_SPLIT,FORMAL_JOINT_ASSIGNMENT_RECOMPUTED_WITH_OWNER_ORACLE_PARITY,false,false
