feature_semantics_item,feature_group,current_status,audit_required_before_training,fully_audited_claimed,blocking_for_loader_shape_dry_run_execution_smoke,training_ready,recommended_audit_step,feature_semantics_execution_audit_passed,blocking_reasons
protein_atom_feature_semantics,protein_features,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
ligand_atom_feature_semantics,ligand_features,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
residue_feature_semantics,protein_features,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
covalent_endpoint_atom_semantics,covalent_labels,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
warhead_linker_scaffold_group_semantics,group_labels,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
canonical_mask_task_semantics,mask_tasks,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
pre_post_covalent_geometry_semantics,geometry_labels,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
warhead_type_label_semantics,auxiliary_labels,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
ligand_residue_atom_pair_label_semantics,auxiliary_labels,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
coordinate_frame_and_units_semantics,coordinates,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
unknown_atom_feature_policy,feature_policy,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
checkpoint_feature_compatibility,checkpoint_compatibility,design_contract_only_not_fully_audited,True,False,False,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training,True,
