safety_item,expected_executed,observed_executed,safety_passed
standalone_evaluator_implementation,true,true,true
exact10_result_validation,true,true,true
scalar_validation,true,true,true
context_validation,true,true,true
exact38_synthetic_truth,true,true,true
independent_oracle_equivalence,true,true,true
source_verification,true,true,true
evaluator_pure_in_memory_audit,true,true,true
provider_mapping,false,false,true
provider_values,false,false,true
unified_adapter,false,false,true
exact7_runtime_modification,false,false,true
admit_008_registration,false,false,true
admit_009,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
real_candidate_evaluation,false,false,true
raw_read,false,false,true
network,false,false,true
bulk_download,false,false,true
checkpoint,false,false,true
torch_numpy_rdkit,false,false,true
model_forward_loss,false,false,true
training_fine_tune,false,false,true
parameter_update,false,false,true
