contract_id,contract_kind,contract_subject,contract_value,contract_status
API_001,public_api,signature,"evaluate_admit_008(topology_restoration_disposition, allowed_topology_restoration_dispositions)",frozen
API_002,public_api,inputs,two_required_positional_or_keyword_direct_objects,frozen
API_003,public_api,execution,pure_in_memory_deterministic_no_input_mutation,frozen
RESULT_001,result_contract,type,exact_frozen_dataclass_no_subclasses,frozen
RESULT_002,result_contract,field_count,10,frozen
RESULT_003,result_contract,field_order,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_topology_restoration_disposition|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
RESULT_004,result_contract,exact_types,exact_str_bool_tuple_and_string_pairs,frozen
RESULT_005,result_contract,outcomes,passed|blocked|invalid,frozen
RESULT_006,result_contract,passed,true_iff_outcome_passed,frozen
RESULT_007,result_contract,blocks_candidate,true_iff_outcome_not_passed,frozen
RESULT_008,result_contract,reason,passed_empty_nonpassed_frozen_reason,frozen
RESULT_009,result_contract,canonical_state,scalar_invalid_empty|exact4_preserved_otherwise,frozen
RESULT_010,result_contract,validated_state,scalar_invalid_empty|canonical_single_pair,frozen
RESULT_011,result_contract,consumed,exact_candidate_and_context_tuples,frozen
RESULT_012,result_contract,evaluator_io_used,exact_false,frozen
SCALAR_001,scalar_semantics,type,exact_builtin_str,frozen
SCALAR_002,scalar_semantics,precedence,type|nonempty|ascii|syntax|exact4_membership,frozen
SCALAR_003,scalar_semantics,syntax,"[a-z][a-z0-9_]{0,63}",frozen
SCALAR_004,scalar_semantics,enum,approved_restoration_template|explicit_manual_review_approved|manual_review_required|quarantine_required,frozen
SCALAR_005,scalar_semantics,normalization,none,frozen
CONTEXT_001,context_semantics,type,exact_builtin_tuple,frozen
CONTEXT_002,context_semantics,members,exact_builtin_str,frozen
CONTEXT_003,context_semantics,content,approved_restoration_template|explicit_manual_review_approved,frozen
CONTEXT_004,context_semantics,order_and_cardinality,exact2_no_extra,frozen
OUTCOME_001,rule_semantics,passed_members,approved_restoration_template|explicit_manual_review_approved,frozen
OUTCOME_002,rule_semantics,manual_review_required,TOPOLOGY_RESTORATION_MANUAL_REVIEW_REQUIRED,frozen
OUTCOME_003,rule_semantics,quarantine_required,TOPOLOGY_RESTORATION_QUARANTINE_REQUIRED,frozen
OUTCOME_004,rule_semantics,blocked_reason_bijection,two_distinct_exact_reasons,frozen
OUTCOME_005,rule_semantics,precedence,scalar_failure|context_failure|canonical_classification,frozen
REASON_001,rule_semantics,historical_lowercase,topology_restoration_unapproved_not_used,frozen
MISSING_001,standalone_boundary,candidate_missing,adapter_owned_not_standalone,frozen
PROVIDER_001,provider_boundary,fields,restoration_rule_and_provenance_not_consumed,frozen
PROVIDER_002,provider_boundary,real_values,zero_mapping_unvalidated,frozen
ORACLE_001,oracle_contract,production,does_not_import_or_call_design_oracle,frozen
ORACLE_002,oracle_contract,attestation,checker_and_tests_compare_complete_exact10,frozen
BOUNDARY_001,authorization_boundary,excluded,adapter|runtime|registration|admit009|aggregation|real_evaluation,frozen
BOUNDARY_002,authorization_boundary,operations,no_raw_network_download_model_training,frozen
