case_order,case_id,case_group,invocation_form,stage_context_representation,expected_outcome,observed_outcome,expected_reason,observed_reason,expected_canonical_record,observed_canonical_record,expected_validated_fields,observed_validated_fields,expected_consumed_fields,observed_consumed_fields,result_contract_passed,case_passed
1,SIGNATURE_EXACT_STRING,signature,"evaluate_admit_014(*, stage_authorization_context: object = _MISSING) -> Admit014EvaluationResult",<MISSING>,verified,verified,,,(),(),(),(),(),(),true,true
2,SIGNATURE_ONE_KEYWORD_ONLY,signature,one keyword-only parameter,<MISSING>,verified,verified,,,(),(),(),(),(),(),true,true
3,SIGNATURE_PRIVATE_MISSING,signature,private missing singleton default,<MISSING>,verified,verified,,,(),(),(),(),(),(),true,true
4,SIGNATURE_RETURN_ANNOTATION,signature,Admit014EvaluationResult,<MISSING>,verified,verified,,,(),(),(),(),(),(),true,true
5,SIGNATURE_NO_VARARGS,signature,no *args,<MISSING>,verified,verified,,,(),(),(),(),(),(),true,true
6,SIGNATURE_NO_VARKW,signature,no **kwargs,<MISSING>,verified,verified,,,(),(),(),(),(),(),true,true
7,SIGNATURE_POSITIONAL_REJECTED,signature,positional invocation rejected,<MISSING>,rejected,rejected,TypeError,TypeError,(),(),(),(),(),(),true,true
8,SIGNATURE_UNKNOWN_KEYWORD_REJECTED,signature,unknown keyword rejected,<MISSING>,rejected,rejected,TypeError,TypeError,(),(),(),(),(),(),true,true
9,OMITTED,context_structure,omitted,<MISSING>,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,(),(),(),(),(),(),true,true
10,EXPLICIT_NONE,context_structure,explicit None,None,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,(),(),(),(),(),(),true,true
11,CONTEXT_OBJECT,context_structure,keyword,<OBJECT>,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,(),(),(),(),(),(),true,true
12,CONTEXT_INT,context_structure,keyword,7,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,(),(),(),(),(),(),true,true
13,CONTEXT_STR,context_structure,keyword,'x',blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,(),(),(),(),(),(),true,true
14,CONTEXT_LIST,context_structure,keyword,[],blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,(),(),(),(),(),(),true,true
15,EMPTY_MAPPING,context_structure,keyword,{},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
16,UNRELATED_ONLY_MAPPING,context_structure,keyword,{'other': True},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
17,LOOKUP_KEYERROR,lookup,keyword,<Mapping:KeyError>,blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
18,LOOKUP_RUNTIMEERROR,lookup,keyword,<Mapping:RuntimeError>,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
19,LOOKUP_VALUEERROR,lookup,keyword,<Mapping:ValueError>,blocked,blocked,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
20,INT_ZERO,invalid_exact_type,keyword,{'current_stage_download_authorized': 0},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
21,INT_ONE,invalid_exact_type,keyword,{'current_stage_download_authorized': 1},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
22,FLOAT_ZERO,invalid_exact_type,keyword,{'current_stage_download_authorized': 0.0},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
23,FLOAT_ONE,invalid_exact_type,keyword,{'current_stage_download_authorized': 1.0},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
24,STRING_FALSE,invalid_exact_type,keyword,{'current_stage_download_authorized': 'false'},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
25,STRING_TRUE,invalid_exact_type,keyword,{'current_stage_download_authorized': 'true'},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
26,NONE_VALUE,invalid_exact_type,keyword,{'current_stage_download_authorized': None},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
27,LIST_VALUE,invalid_exact_type,keyword,{'current_stage_download_authorized': []},blocked,blocked,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_DOWNLOAD_AUTHORIZED_TYPE_INVALID,(),(),(),(),"('current_stage_download_authorized',)","('current_stage_download_authorized',)",true,true
