case_order,case_id,expected_decision,observed_decision,error_code,runtime_call_count,selected_rule_id,candidate_identity_preserved,stage_identity_preserved,contexts_none,protected_action_count,current_permission,authorized_execution_count,case_passed
1,canonical_pass,return_original_result,return_original_result,,1,ADMIT_015,true,true,true,0,false,0,true
2,false_authorization,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,0,false,0,true
3,missing_stage_context,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,0,false,0,true
4,invalid_candidate,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,0,false,0,true
5,dispatcher_exception,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DISPATCH_FAILED,1,ADMIT_015,true,true,true,0,false,0,true
6,wrong_result_type,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,1,ADMIT_015,true,true,true,0,false,0,true
7,result_subclass,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,1,ADMIT_015,true,true,true,0,false,0,true
8,exact_result_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,0,false,0,true
9,candidate_probe_not_read,return_original_result,return_original_result,,1,ADMIT_015,true,true,true,0,false,0,true
10,stage_identity,return_original_result,return_original_result,,1,ADMIT_015,true,true,true,0,false,0,true
11,exactly_one_call,one_runtime_call,one_runtime_call,,1,ADMIT_015,true,true,true,0,false,0,true
12,original_result_identity,return_same_object,return_same_object,,1,ADMIT_015,true,true,true,0,false,0,true
13,batch_context_none,route_none,route_none,,1,ADMIT_015,true,true,true,0,false,0,true
14,evaluation_context_none,route_none,route_none,,1,ADMIT_015,true,true,true,0,false,0,true
15,download_result_context_none,route_none,route_none,,1,ADMIT_015,true,true,true,0,false,0,true
16,unexpected_precomputed_result,python_type_error_before_dispatch,python_type_error_before_dispatch,,0,,not_applicable,not_applicable,not_applicable,0,false,0,true
17,unexpected_combined_verdict,python_type_error_before_dispatch,python_type_error_before_dispatch,,0,,not_applicable,not_applicable,not_applicable,0,false,0,true
18,unexpected_admit014_permission,python_type_error_before_dispatch,python_type_error_before_dispatch,,0,,not_applicable,not_applicable,not_applicable,0,false,0,true
19,unexpected_dispatcher,python_type_error_before_dispatch,python_type_error_before_dispatch,,0,,not_applicable,not_applicable,not_applicable,0,false,0,true
20,no_protected_action_execution,all_exact11_counts_zero,all_exact11_counts_zero,,1,ADMIT_015,true,true,true,0,false,0,true
21,synthetic_pass_permission_count_unchanged,false_and_zero,false_and_zero,,1,ADMIT_015,true,true,true,0,false,0,true
22,no_retry_loop,one_call_site_and_one_call,one_call_site_and_one_call,,1,ADMIT_015,true,true,true,0,false,0,true
23,no_combined_or_admit014_branch,absent,absent,,1,ADMIT_015,true,true,true,0,false,0,true
