case_order,contract_group,case_id,expected_behavior,error_code,reachability,result_identity_preserved,contract_passed
1,canonical_result,canonical_return,return exact runtime result,,reachable,true,true
2,error_mapping,dispatcher_failure,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DISPATCH_FAILED,reachable,not_applicable,true
3,error_mapping,wrong_result_type,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,reachable,not_applicable,true
4,error_mapping,result_subclass,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,reachable,not_applicable,true
5,error_mapping,exact13_field_order_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
6,error_mapping,dataclass_field_order_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
7,error_mapping,top_level_field_type_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
8,error_mapping,reconstruction_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
9,error_mapping,schema_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
10,error_mapping,rule_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
11,error_mapping,outcome_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
12,error_mapping,passed_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
13,error_mapping,blocks_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
14,error_mapping,reason_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
15,error_mapping,normalized_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
16,error_mapping,validated_candidate_field_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
17,error_mapping,consumed_candidate_field_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
18,error_mapping,consumed_context_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
19,error_mapping,evaluator_io_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
20,error_mapping,adapter_drift,raise fail closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
21,error_object,exact_class,exact class,,reachable,not_applicable,true
22,error_object,frozen_dataclass,frozen,,reachable,not_applicable,true
23,error_object,exact_field_order,schema_version|error_code|admission_rule_id|reason,,reachable,not_applicable,true
24,error_object,exact_field_types,exact built-in str only,,reachable,not_applicable,true
25,error_object,fixed_schema_and_rule,covapie error schema and ADMIT_015,,reachable,not_applicable,true
26,error_object,deterministic_reason,reason equals error_code,,reachable,not_applicable,true
27,error_object,no_original_exception_message,dispatcher detail not retained,,reachable,not_applicable,true
28,error_vocabulary,dispatch_failed,frozen,ADMIT_015_TRAINING_AUTHORIZATION_DISPATCH_FAILED,reachable,not_applicable,true
29,error_vocabulary,result_invalid,frozen,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,reachable,not_applicable,true
30,error_vocabulary,denied,frozen,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,reachable,not_applicable,true
31,error_vocabulary,replay_forbidden,frozen,ADMIT_015_TRAINING_AUTHORIZATION_REPLAY_FORBIDDEN,reserved_unreachable_by_exact_public_signature,not_applicable,true
32,error_vocabulary,repeated_call_forbidden,frozen,ADMIT_015_TRAINING_AUTHORIZATION_REPEATED_CALL_FORBIDDEN,reserved_unreachable_by_exact_public_signature,not_applicable,true
33,error_vocabulary,override_forbidden,frozen,ADMIT_015_TRAINING_AUTHORIZATION_OVERRIDE_FORBIDDEN,reserved_unreachable_by_exact_public_signature,not_applicable,true
