route_consumption_order,case_id,contract_kind,source_envelope,source_key,formal_parameter,required,missing_representation,consumed_on_case,validated_on_case,adapter_responsibility,evaluator_responsibility,route_passed
1,ROUTE_DOWNLOAD_RESULT_STATUS,route,download_result_context,download_result_status,download_result_status,true,private_missing_singleton,case_dependent_field_prefix,case_dependent_validated_prefix,extract exactly once and pass by identity,presence and exact field validation,true
2,ROUTE_OBSERVED_HTTP_STATUS,route,download_result_context,observed_http_status,observed_http_status,true,private_missing_singleton,case_dependent_field_prefix,case_dependent_validated_prefix,extract exactly once and pass by identity,presence and exact field validation,true
3,ROUTE_OBSERVED_CONTENT_LENGTH_BYTES,route,download_result_context,observed_content_length_bytes,observed_content_length_bytes,true,private_missing_singleton,case_dependent_field_prefix,case_dependent_validated_prefix,extract exactly once and pass by identity,presence and exact field validation,true
4,ROUTE_OBSERVED_SHA256,route,download_result_context,observed_sha256,observed_sha256,true,private_missing_singleton,case_dependent_field_prefix,case_dependent_validated_prefix,extract exactly once and pass by identity,presence and exact field validation,true
5,ROUTE_ALLOWED_DOWNLOAD_RESULT_STATUSES,route,evaluation_context,allowed_download_result_statuses,allowed_download_result_statuses,true,adapter routing failure before call,case_dependent_context_prefix,not_applicable,require key and pass by identity,exact context type/content validation,true
6,ROUTE_SUCCESSFUL_HTTP_STATUS_CONTRACT,route,evaluation_context,successful_http_status_contract,successful_http_status_contract,true,adapter routing failure before call,case_dependent_context_prefix,not_applicable,require key and pass by identity,exact context type/content validation,true
7,ROUTE_CONTENT_LENGTH_CONTRACT,route,evaluation_context,content_length_contract,content_length_contract,true,adapter routing failure before call,case_dependent_context_prefix,not_applicable,require key and pass by identity,exact context type/content validation,true
8,ROUTE_SHA256_FORMAT_CONTRACT,route,evaluation_context,sha256_format_contract,sha256_format_contract,true,adapter routing failure before call,case_dependent_context_prefix,not_applicable,require key and pass by identity,exact context type/content validation,true
9,FORBIDDEN_CANDIDATE_RECORD,forbidden_route,candidate_record,*,,false,not_applicable,none,none,must not source ADMIT_012 formal parameters,does not consume envelope,true
10,FORBIDDEN_BATCH_CONTEXT,forbidden_route,batch_context,*,,false,not_applicable,none,none,must not source ADMIT_012 formal parameters,does not consume envelope,true
11,FORBIDDEN_STAGE_AUTHORIZATION_CONTEXT,forbidden_route,stage_authorization_context,*,,false,not_applicable,none,none,must not source ADMIT_012 formal parameters,does not consume envelope,true
12,MISSING_DOWNLOAD_RESULT_STATUS,consumption_case,standalone_evaluator,download_result_status,download_result_status,true,private_missing_singleton,download_result_status,,route Exact4 before call,blocked at first missing during presence phase,true
13,MISSING_OBSERVED_HTTP_STATUS,consumption_case,standalone_evaluator,observed_http_status,observed_http_status,true,private_missing_singleton,download_result_status|observed_http_status,,route Exact4 before call,blocked at first missing during presence phase,true
14,MISSING_OBSERVED_CONTENT_LENGTH_BYTES,consumption_case,standalone_evaluator,observed_content_length_bytes,observed_content_length_bytes,true,private_missing_singleton,download_result_status|observed_http_status|observed_content_length_bytes,,route Exact4 before call,blocked at first missing during presence phase,true
15,MISSING_OBSERVED_SHA256,consumption_case,standalone_evaluator,observed_sha256,observed_sha256,true,private_missing_singleton,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,,route Exact4 before call,blocked at first missing during presence phase,true
16,INVALID_DOWNLOAD_RESULT_STATUS,consumption_case,standalone_evaluator,download_result_status,download_result_status,true,present_invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,,route Exact4 before call,invalid at first type/value failure,true
17,INVALID_OBSERVED_HTTP_STATUS,consumption_case,standalone_evaluator,observed_http_status,observed_http_status,true,present_invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status,route Exact4 before call,invalid at first type/value failure,true
18,INVALID_OBSERVED_CONTENT_LENGTH_BYTES,consumption_case,standalone_evaluator,observed_content_length_bytes,observed_content_length_bytes,true,present_invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status|observed_http_status,route Exact4 before call,invalid at first type/value failure,true
19,INVALID_OBSERVED_SHA256,consumption_case,standalone_evaluator,observed_sha256,observed_sha256,true,present_invalid,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status|observed_http_status|observed_content_length_bytes,route Exact4 before call,invalid at first type/value failure,true
20,INVALID_ALLOWED_DOWNLOAD_RESULT_STATUSES,consumption_case,standalone_evaluator,allowed_download_result_statuses,allowed_download_result_statuses,true,present_invalid,allowed_download_result_statuses,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route Exact4 contexts before call,invalid at first context type/content failure,true
21,INVALID_SUCCESSFUL_HTTP_STATUS_CONTRACT,consumption_case,standalone_evaluator,successful_http_status_contract,successful_http_status_contract,true,present_invalid,allowed_download_result_statuses|successful_http_status_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route Exact4 contexts before call,invalid at first context type/content failure,true
22,INVALID_CONTENT_LENGTH_CONTRACT,consumption_case,standalone_evaluator,content_length_contract,content_length_contract,true,present_invalid,allowed_download_result_statuses|successful_http_status_contract|content_length_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route Exact4 contexts before call,invalid at first context type/content failure,true
23,INVALID_SHA256_FORMAT_CONTRACT,consumption_case,standalone_evaluator,sha256_format_contract,sha256_format_contract,true,present_invalid,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route Exact4 contexts before call,invalid at first context type/content failure,true
24,PASSED,consumption_case,standalone_evaluator,Exact4,Exact8,true,all_present,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route only download/evaluation envelopes,passed; success/2xx judgment belongs to ADMIT_013,true
25,PASSED_FAILURE_STATUS,consumption_case,standalone_evaluator,Exact4,Exact8,true,all_present,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route only download/evaluation envelopes,passed; success/2xx judgment belongs to ADMIT_013,true
26,PASSED_HTTP_4XX,consumption_case,standalone_evaluator,Exact4,Exact8,true,all_present,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route only download/evaluation envelopes,passed; success/2xx judgment belongs to ADMIT_013,true
27,PASSED_HTTP_5XX,consumption_case,standalone_evaluator,Exact4,Exact8,true,all_present,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256|allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,route only download/evaluation envelopes,passed; success/2xx judgment belongs to ADMIT_013,true
