source_order,source_relative_path,source_kind,base_tree_mode,expected_sha256,base_tree_sha256,filesystem_sha256,frozen_snapshot_sha256,git_tracked,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,triple_sha256_passed,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_design_gate.py,python_source,100644,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,92d6ab08c4e9fa4bd448895687c897f06a596d4fb73a2e9cf7e88ffebaa6448f,true,true,true,true,true,true,true,true,true
2,scripts/check_covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1.py,python_source,100644,bd2fda1bb9f1d623fb33037df2f7d569f366a8c3f66df69b6c4d348f65057cd7,bd2fda1bb9f1d623fb33037df2f7d569f366a8c3f66df69b6c4d348f65057cd7,bd2fda1bb9f1d623fb33037df2f7d569f366a8c3f66df69b6c4d348f65057cd7,bd2fda1bb9f1d623fb33037df2f7d569f366a8c3f66df69b6c4d348f65057cd7,true,true,true,true,true,true,true,true,true
3,tests/test_covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1.py,python_source,100644,270d6eb0a5b21f521d3568044179572bddad8f962cc81cded431b22d318470e0,270d6eb0a5b21f521d3568044179572bddad8f962cc81cded431b22d318470e0,270d6eb0a5b21f521d3568044179572bddad8f962cc81cded431b22d318470e0,270d6eb0a5b21f521d3568044179572bddad8f962cc81cded431b22d318470e0,true,true,true,true,true,true,true,true,true
4,docs/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1_summary.md,tracked_text,100644,b9351a65f4065bfcd5f06f275c0c26f3f83c357de66744d4ed8d03d0cc05f345,b9351a65f4065bfcd5f06f275c0c26f3f83c357de66744d4ed8d03d0cc05f345,b9351a65f4065bfcd5f06f275c0c26f3f83c357de66744d4ed8d03d0cc05f345,b9351a65f4065bfcd5f06f275c0c26f3f83c357de66744d4ed8d03d0cc05f345,true,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_field_contract.csv,committed_csv,100644,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,03aef0a14257d9a2c028fcc3dd84c161c29b09bca1a1c71456edc66e2e73c9ce,true,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_result_status_enum.csv,committed_csv,100644,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,4c016e8c325ce6a422dff618ae166ec4f42243cc0d1fbf8f6a722c13f63139f6,true,true,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_validation_truth_matrix.csv,committed_csv,100644,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,766506f8c0bf2d7734b9c379c9437e1a48a2117873f7e974325b00ab685a39e1,true,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_contract_source_boundary_audit.csv,committed_csv,100644,73393c6c540cb00d040fa8154948f544e445bbcb63323d9f463709c7ee8b16ed,73393c6c540cb00d040fa8154948f544e445bbcb63323d9f463709c7ee8b16ed,73393c6c540cb00d040fa8154948f544e445bbcb63323d9f463709c7ee8b16ed,73393c6c540cb00d040fa8154948f544e445bbcb63323d9f463709c7ee8b16ed,true,true,true,true,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_contract_issue_readiness_inventory.csv,committed_csv,100644,dfe8e16d741548323cddfcdf3db86bdf0c098d6bb2a86fcb8ec0914ebe924855,dfe8e16d741548323cddfcdf3db86bdf0c098d6bb2a86fcb8ec0914ebe924855,dfe8e16d741548323cddfcdf3db86bdf0c098d6bb2a86fcb8ec0914ebe924855,dfe8e16d741548323cddfcdf3db86bdf0c098d6bb2a86fcb8ec0914ebe924855,true,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_download_integrity_field_contract_v1/covapie_admit_012_download_integrity_field_contract_manifest.json,committed_manifest,100644,9fadff44ae15474783df2a3997c45f2c4d57a41ca2adbab0b40f1d890f51039f,9fadff44ae15474783df2a3997c45f2c4d57a41ca2adbab0b40f1d890f51039f,9fadff44ae15474783df2a3997c45f2c4d57a41ca2adbab0b40f1d890f51039f,9fadff44ae15474783df2a3997c45f2c4d57a41ca2adbab0b40f1d890f51039f,true,true,true,true,true,true,true,true,true
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_formal_evaluator_preconditions_manifest.json,committed_manifest,100644,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,712caa27add06784db5cfe2e59a65952ae4b1c5a369ff43772d8e4f95b18c4de,true,true,true,true,true,true,true,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_formal_evaluator_precondition_matrix.csv,committed_csv,100644,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,c667c5f195a1d834672564835380896553339833041d17cc2f689db23f9d319f,true,true,true,true,true,true,true,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_preconditions_audit_v1/covapie_admit_012_issue_readiness_inventory.csv,committed_csv,100644,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,5ebe9332137bfa9c7804c82041ff695b3379ba505a5eb006fa5c7798510e8529,true,true,true,true,true,true,true,true,true
14,docs/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_preconditions_audit_v1_summary.md,tracked_text,100644,76f93106cf52b3f205d1cce0daa2c64999c16f0283c878ea6a401b14c8b93d91,76f93106cf52b3f205d1cce0daa2c64999c16f0283c878ea6a401b14c8b93d91,76f93106cf52b3f205d1cce0daa2c64999c16f0283c878ea6a401b14c8b93d91,76f93106cf52b3f205d1cce0daa2c64999c16f0283c878ea6a401b14c8b93d91,true,true,true,true,true,true,true,true,true
15,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,committed_csv,100644,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true,true,true,true,true,true,true,true,true
16,src/covalent_ext/covapie_bulk_download_admission_admit_006_rule_logic_interface.py,python_source,100644,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,true,true,true,true,true,true,true,true,true
17,scripts/check_covapie_bulk_download_admission_admit_006_rule_logic_interface_v1.py,python_source,100644,a26c48830cccf580987bade69c375ccb2a2a18add65abe15c7e3dffe2cf74c27,a26c48830cccf580987bade69c375ccb2a2a18add65abe15c7e3dffe2cf74c27,a26c48830cccf580987bade69c375ccb2a2a18add65abe15c7e3dffe2cf74c27,a26c48830cccf580987bade69c375ccb2a2a18add65abe15c7e3dffe2cf74c27,true,true,true,true,true,true,true,true,true
18,tests/test_covapie_bulk_download_admission_admit_006_rule_logic_interface_v1.py,python_source,100644,a2ec0e56f53bf6eb6644e007505318efed4bc7d84cd83fa31ae30a9696c6e0e3,a2ec0e56f53bf6eb6644e007505318efed4bc7d84cd83fa31ae30a9696c6e0e3,a2ec0e56f53bf6eb6644e007505318efed4bc7d84cd83fa31ae30a9696c6e0e3,a2ec0e56f53bf6eb6644e007505318efed4bc7d84cd83fa31ae30a9696c6e0e3,true,true,true,true,true,true,true,true,true
19,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_manifest.json,committed_manifest,100644,921356eaa15f40fed925d11d73a6fbb868b4c881828c358fb35fde168b8c33f8,921356eaa15f40fed925d11d73a6fbb868b4c881828c358fb35fde168b8c33f8,921356eaa15f40fed925d11d73a6fbb868b4c881828c358fb35fde168b8c33f8,921356eaa15f40fed925d11d73a6fbb868b4c881828c358fb35fde168b8c33f8,true,true,true,true,true,true,true,true,true
