preflight_item,artifact_or_check,expected_status,observed_status,preflight_passed,blocking_reasons
step14aj_manifest_valid,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_independent_group_expansion_candidate_review_gate_manifest.json,covapie_independent_group_expansion_candidate_review_gate_v0,covapie_independent_group_expansion_candidate_review_gate_v0,True,
approved_candidate_count_is_8,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_independent_group_expansion_candidate_review_gate_manifest.json,8,8,True,
approved_pair_order_exact,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_independent_group_expansion_candidate_review_gate_manifest.json,"['1AEC/E64', '1AIM/ZYA', '1AU3/PCM', '1AU4/INP', '1AYU/INA', '1AYV/IN6', '1AYW/IN3', '1B02/UFP']","['1AEC/E64', '1AIM/ZYA', '1AU3/PCM', '1AU4/INP', '1AYU/INA', '1AYV/IN6', '1AYW/IN3', '1B02/UFP']",True,
review_registry_matches_manifest,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_expansion_candidate_review_registry.csv,"['1AEC/E64', '1AIM/ZYA', '1AU3/PCM', '1AU4/INP', '1AYU/INA', '1AYV/IN6', '1AYW/IN3', '1B02/UFP']","['1AEC/E64', '1AIM/ZYA', '1AU3/PCM', '1AU4/INP', '1AYU/INA', '1AYV/IN6', '1AYW/IN3', '1B02/UFP']",True,
preflight_plan_matches_registry,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_expansion_acquisition_preflight_approval_plan.csv,"['1AEC/E64', '1AIM/ZYA', '1AU3/PCM', '1AU4/INP', '1AYU/INA', '1AYV/IN6', '1AYW/IN3', '1B02/UFP']","['1AEC/E64', '1AIM/ZYA', '1AU3/PCM', '1AU4/INP', '1AYU/INA', '1AYV/IN6', '1AYW/IN3', '1B02/UFP']",True,
no_execution_approval_from_previous_stage,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_expansion_candidate_review_registry.csv,False,{'False'},True,
no_confirmed_independent_groups,data/derived/covalent_small/covapie_independent_group_expansion_candidate_review_gate_v0/covapie_independent_group_expansion_candidate_review_gate_manifest.json,0,0,True,
raw_target_is_git_ignored,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001,True,True,True,
raw_target_has_no_tracked_files,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001,False,False,True,
raw_target_has_no_staged_files,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001,False,False,True,
guarded_hashes_unchanged,metadata/sample-index,True,True,True,
historical_artifacts_unchanged,Step14AJ and historical,False,False,True,
protected_source_diff_empty,protected DiffSBDD,False,False,True,
original_dataloader_diff_empty,original dataloader,False,False,True,
staged_files_empty_before_execution,git index,False,False,True,
canonical_five_masks_preserved,canonical masks,5,5,True,
