safety_item,required_status,observed_status,safety_passed,blocking_reasons
embedded_preflight_executed,True,True,True,
standalone_preflight_gate_created,False,False,True,
user_authorized_controlled_batch_execution,True,True,True,
network_access_used_current_step,True,True,True,
network_host_restricted_to_files_rcsb_org,True,True,True,
download_attempted_current_step,True,True,True,
only_approved_eight_candidates_processed,True,True,True,
raw_root_git_ignored,True,True,True,
raw_files_tracked,False,False,True,
raw_files_staged,False,False,True,
part_files_remaining,False,False,True,
raw_struct_conn_parsed_current_step,False,False,True,
atom_site_semantically_parsed_current_step,False,False,True,
sample_index_modified,False,False,True,
metadata_csv_unchanged,True,True,True,
sample_index_files_unchanged,True,True,True,
step14aj_artifacts_unchanged,True,True,True,
historical_artifacts_unchanged,True,True,True,
protected_source_diff_empty,True,True,True,
original_dataloader_diff_empty,True,True,True,
split_assignments_written,False,False,True,
leakage_matrix_written,False,False,True,
final_dataset_written,False,False,True,
training_artifacts_written,False,False,True,
torch_imported,False,False,True,
numpy_imported,False,False,True,
rdkit_used,False,False,True,
biopython_used,False,False,True,
gemmi_used,False,False,True,
requests_used,False,False,True,
