stage,previous_stage,section,status,evidence,decision,blocking_reasons,recommended_next_step
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,step13ab_precondition,passed,"{""previous_stage"": ""real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0"", ""validated"": true}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,input_audit,passed,"{""all_adapter_input_audits_passed"": true, ""row_count"": 3}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,sample_dict_audit,passed,"{""all_adapter_sample_dict_audits_passed"": true, ""row_count"": 3}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,field_shape_observation,passed,"{""all_adapter_field_shape_observations_passed"": true, ""row_count"": 42}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,single_sample_batch_audit,passed,"{""all_adapter_single_sample_batch_audits_passed"": true, ""row_count"": 3}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,mask_mapping_audit,passed,"{""all_mask_mapping_audits_passed"": true, ""row_count"": 5}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,auxiliary_label_audit,passed,"{""all_auxiliary_label_audits_passed"": true, ""row_count"": 3}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,execution_boundary_audit,passed,"{""all_execution_boundaries_respected"": true, ""row_count"": 19}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,feature_semantics_audit,passed,"{""all_feature_semantics_audit_required_before_training"": true, ""no_feature_semantics_claimed_fully_audited"": true, ""row_count"": 12}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,dependency_audit,passed,"{""all_dependency_artifacts_exist"": true, ""all_dependency_counts_validated"": true, ""row_count"": 8}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_design_gate_v0,readiness_boundary,passed,"{""feature_semantics_audit_required_before_training"": true, ""ready_for_diffsbdd_loader_adapter_implementation_qa_gate"": true, ""ready_for_training"": false, ""ready_to_train_now"": false, ""recommended_next_step"": ""real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate""}",DiffSBDD loader adapter implementation smoke passed,,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_qa_gate
