adapter_design_sample_id,review_row_id,covalent_shape_item,future_adapter_field_name,expected_rank_source,observed_rank,observed_shape,observed_dtype_family,tensor_created,tensor_persisted,field_shape_observation_status,field_shape_observation_passed,blocking_reasons
DSBDD_ADAPTER_DESIGN_000001,HR_0002,pocket_atom_coordinates,diffsbdd_pocket_atom_positions,step13z_observed_rank_checked_against_expected_rank_2,2,"[224, 3]",floating,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,pocket_atom_features,diffsbdd_pocket_atom_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[224, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,pocket_residue_features,diffsbdd_pocket_residue_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[224, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_atom_coordinates,diffsbdd_ligand_atom_positions,step13z_observed_rank_checked_against_expected_rank_2,2,"[33, 3]",floating,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_atom_features,diffsbdd_ligand_atom_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[33, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_bond_index,diffsbdd_ligand_bond_index,step13z_observed_rank_checked_against_expected_rank_2,2,"[2, 35]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_bond_features,diffsbdd_ligand_bond_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[35, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_group_labels,diffsbdd_ligand_group_labels,step13z_observed_rank_checked_against_expected_rank_1,1,[33],integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,covalent_endpoint_atom_mask,diffsbdd_covalent_endpoint_atom_mask,step13z_observed_rank_checked_against_expected_rank_1,1,[33],boolean,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,reactive_residue_atom_coordinates,diffsbdd_reactive_residue_atom_coordinates,step13z_observed_rank_checked_against_expected_rank_1,1,[3],floating,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,canonical_mask_task_id_or_name,diffsbdd_canonical_mask_task,step13z_observed_rank_checked_against_expected_rank_1,1,[1],integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,auxiliary_warhead_type_label,diffsbdd_auxiliary_warhead_type_label,step13z_observed_rank_checked_against_expected_rank_0,0,[],integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,auxiliary_ligand_residue_atom_pair_label,diffsbdd_auxiliary_ligand_residue_atom_pair_label,step13z_observed_rank_checked_against_expected_rank_0,0,[],integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,auxiliary_pre_post_geometry_label,diffsbdd_auxiliary_pre_post_geometry_label,step13z_observed_rank_checked_against_expected_rank_0,0,[],floating,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,pocket_atom_coordinates,diffsbdd_pocket_atom_positions,step13z_observed_rank_checked_against_expected_rank_2,2,"[254, 3]",floating,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,pocket_atom_features,diffsbdd_pocket_atom_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[254, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,pocket_residue_features,diffsbdd_pocket_residue_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[254, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_atom_coordinates,diffsbdd_ligand_atom_positions,step13z_observed_rank_checked_against_expected_rank_2,2,"[30, 3]",floating,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_atom_features,diffsbdd_ligand_atom_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[30, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_bond_index,diffsbdd_ligand_bond_index,step13z_observed_rank_checked_against_expected_rank_2,2,"[2, 33]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_bond_features,diffsbdd_ligand_bond_features,step13z_observed_rank_checked_against_expected_rank_2,2,"[33, 1]",integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_group_labels,diffsbdd_ligand_group_labels,step13z_observed_rank_checked_against_expected_rank_1,1,[30],integer,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,covalent_endpoint_atom_mask,diffsbdd_covalent_endpoint_atom_mask,step13z_observed_rank_checked_against_expected_rank_1,1,[30],boolean,True,False,observed_in_external_adapter_implementation_smoke,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,reactive_residue_atom_coordinates,diffsbdd_reactive_residue_atom_coordinates,step13z_observed_rank_checked_against_expected_rank_1,1,[3],floating,True,False,observed_in_external_adapter_implementation_smoke,True,
