sample_id,source_sample_id,split,file_role,source_file_path,source_file_exists,source_file_size_bytes,source_file_sha256,package_mode,copied_to_package,copied_file_path,archive_member,training_tensor,generated_now,notes
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,smoke_test,packaged_protein,data/derived/covalent_small/packaging_real_review_only/proteins/BTK_C481_6DI9.pdb,true,226395,d62004ac38434a0cc5846862e03169a132c095e475603e4725058ea04328cf5d,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,smoke_test,packaged_ligand_sdf,data/derived/covalent_small/packaging_real_review_only/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,true,2851,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,smoke_test,packaged_metadata_json,data/derived/covalent_small/packaging_real_review_only/metadata/BTK_C481_6DI9_pre_reaction.json,true,2242,d3dc20da98e2dcd1b917f9d5d01b360f9793240387777c5eb1542bf153e55b1a,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,smoke_test,source_protein,data/raw/covalent_small/proteins/BTK_C481_6DI9.pdb,true,226395,d62004ac38434a0cc5846862e03169a132c095e475603e4725058ea04328cf5d,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,smoke_test,source_ligand_sdf,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,true,2851,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,smoke_test,packaged_protein,data/derived/covalent_small/packaging_real_review_only/proteins/KRAS_G12C_5F2E.pdb,true,308367,ddfa80d8ca2ae558ce6633702d417ed0ba61514ac2f8506fecf6061311412f78,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,smoke_test,packaged_ligand_sdf,data/derived/covalent_small/packaging_real_review_only/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,true,2615,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,smoke_test,packaged_metadata_json,data/derived/covalent_small/packaging_real_review_only/metadata/KRAS_G12C_5F2E_pre_reaction.json,true,2241,54ad52bc53be906507c135d5534076eb1014078e17dd506d2027b29f8a787fd5,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,smoke_test,source_protein,data/raw/covalent_small/proteins/KRAS_G12C_5F2E.pdb,true,308367,ddfa80d8ca2ae558ce6633702d417ed0ba61514ac2f8506fecf6061311412f78,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,smoke_test,source_ligand_sdf,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,true,2615,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,smoke_test,packaged_protein,data/derived/covalent_small/packaging_real_review_only/proteins/KRAS_G12C_6OIM.pdb,true,173016,42deda943440cc8dd3020a2c65ddc260970936d675b47c8b43564195b77d5006,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,smoke_test,packaged_ligand_sdf,data/derived/covalent_small/packaging_real_review_only/ligands_pre_reaction/KRAS_G12C_6OIM_pre_reaction.sdf,true,3541,09e366d2e8d7b761b23c0e0f8efb86173f9b5815bc84e53d29c8d465c445dfe1,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,smoke_test,packaged_metadata_json,data/derived/covalent_small/packaging_real_review_only/metadata/KRAS_G12C_6OIM_pre_reaction.json,true,2273,c6fcbafe9c744629af10366066858b628031a1e0f7bd0bab57dfa6d9f239a49a,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,smoke_test,source_protein,data/raw/covalent_small/proteins/KRAS_G12C_6OIM.pdb,true,173016,42deda943440cc8dd3020a2c65ddc260970936d675b47c8b43564195b77d5006,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,smoke_test,source_ligand_sdf,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_6OIM_pre_reaction.sdf,true,3541,09e366d2e8d7b761b23c0e0f8efb86173f9b5815bc84e53d29c8d465c445dfe1,reference_only_no_data_file_copy,false,,false,false,false,reference_only_no_data_file_copy
