binding_row_id,covalent_residue_locator_namespace,covalent_residue_insertion_code_state,covalent_residue_insertion_code,covalent_residue_locator_provenance_source_id,covalent_residue_locator_provenance_sha256
REAL_LOCATOR_BINDING_000001,auth,unknown,,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000001:covale1:ptnr1,d4b227488db379e646d3c338a48ec948470daa7749c1fd07029d0c96dd1e3c46
REAL_LOCATOR_BINDING_000002,auth,unknown,,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000002:covale1:ptnr1,e002922c3e4e9544aa94119f662d62c32eb9b096cea2c63a47c1290a35e3b0e9
REAL_LOCATOR_BINDING_000003,auth,unknown,,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000003:covale1:ptnr1,0ac3626023ce33c3646fbf6b7675113229b77102176e6f91abe372810f393a8d
REAL_LOCATOR_BINDING_000004,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000001:covale1:ptnr1,5b7f50b2a8bf076a550a940a7fa41ad181f2750ec5da0f1fab0c32044373d776
REAL_LOCATOR_BINDING_000005,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000002:covale1:ptnr1,cff3755e2d310efd0c4f584fcc4e3d1a66ad59e97c226a8cfa6598042676bd87
REAL_LOCATOR_BINDING_000006,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000003:covale1:ptnr1,2605bd5a8b5dd94a6384a107b6c7d5bd80ab860daaa5ad4745df13e2c6c1b5de
REAL_LOCATOR_BINDING_000007,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000004:covale1:ptnr1,7dcaf2c1eaa2ae04d4dec393f02ca8b60e550880cd94132f9c5ab56021a57ede
REAL_LOCATOR_BINDING_000008,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000005:covale1:ptnr1,43ef059bd9853128abba71b809bb4df08556259b317a76a125faa9950de976c9
REAL_LOCATOR_BINDING_000009,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000006:covale1:ptnr1,1d8f89d938e7e1584612fa7bcd8e99db0285413629abafd39242f92756e451f2
REAL_LOCATOR_BINDING_000010,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000007:covale1:ptnr1,16b9129c0446a9a27f4b4243a5fbd9732be574d9c89e7e9d75dd8e7d9d9154f7
REAL_LOCATOR_BINDING_000011,auth,unknown,,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000008:covale1:ptnr1,3aa6ebf20c3daa8462b8cd65f0a466a3149eb0d15a29d559ba2a15c0ed9ec894
