integration_evidence_row_id,binding_row_id,source_pipeline,sample_preparation_input_id,sample_execution_id,pdb_id,ligand_comp_id,conn_id,smoke_case_id,residue_partner_side,locator_namespace,auth_label_conflict_observed,matched_atom_site_id,matched_residue_atom_name,expected_raw_sha256,observed_raw_sha256,provider_export_status,provider_export_blocking_reason,insertion_state,insertion_value,insertion_blocks_admit_004,expected_provenance_source_id,observed_provenance_source_id,provenance_source_id_matches,expected_provenance_sha256,observed_provenance_sha256,provenance_sha256_matches,provider_five_fields_match,integration_status,integration_blocking_reason,evidence_audit_passed
P6D_INTEGRATION_EVIDENCE_000001,REAL_LOCATOR_BINDING_000001,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000001,CYS_SG_SAMPLE_PREP_EXECUTION_000001,6BV6,JUG,covale1,P6C_REAL_000001,ptnr1,auth,true,3934,SG,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,5ca85f5ef727d9bc8c7a8e2254be8169fad6574ecfaa1a40d8feee5af594e65a,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000001:covale1:ptnr1,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000001:covale1:ptnr1,true,d4b227488db379e646d3c338a48ec948470daa7749c1fd07029d0c96dd1e3c46,d4b227488db379e646d3c338a48ec948470daa7749c1fd07029d0c96dd1e3c46,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000002,REAL_LOCATOR_BINDING_000002,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000002,CYS_SG_SAMPLE_PREP_EXECUTION_000002,6BV8,JUG,covale1,P6C_REAL_000002,ptnr1,auth,true,4089,SG,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,a8cd3f5b104906343e7d6d882b85f41ed1ca1a3ad15e0a7b9c77df5987e4fcae,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000002:covale1:ptnr1,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000002:covale1:ptnr1,true,e002922c3e4e9544aa94119f662d62c32eb9b096cea2c63a47c1290a35e3b0e9,e002922c3e4e9544aa94119f662d62c32eb9b096cea2c63a47c1290a35e3b0e9,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000003,REAL_LOCATOR_BINDING_000003,historical_sample_preparation_execution_smoke_v0,CYS_SG_SAMPLE_PREP_INPUT_000003,CYS_SG_SAMPLE_PREP_EXECUTION_000003,6BV5,JUG,covale1,P6C_REAL_000003,ptnr1,auth,true,4089,SG,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,78f68b15590fdb114ec45cdc24e42c6b908b061b5b7942ece1027acd302442b8,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000003:covale1:ptnr1,covapie:residue-locator:CYS_SG_SAMPLE_PREP_INPUT_000003:covale1:ptnr1,true,0ac3626023ce33c3646fbf6b7675113229b77102176e6f91abe372810f393a8d,0ac3626023ce33c3646fbf6b7675113229b77102176e6f91abe372810f393a8d,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000004,REAL_LOCATOR_BINDING_000004,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000001,CYS_SG_EXPANSION_EXEC_000001,1AEC,E64,covale1,P6C_REAL_000004,ptnr1,auth,false,222,SG,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000001:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000001:covale1:ptnr1,true,5b7f50b2a8bf076a550a940a7fa41ad181f2750ec5da0f1fab0c32044373d776,5b7f50b2a8bf076a550a940a7fa41ad181f2750ec5da0f1fab0c32044373d776,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000005,REAL_LOCATOR_BINDING_000005,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000002,CYS_SG_EXPANSION_EXEC_000002,1AIM,ZYA,covale1,P6C_REAL_000005,ptnr1,auth,false,219,SG,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000002:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000002:covale1:ptnr1,true,cff3755e2d310efd0c4f584fcc4e3d1a66ad59e97c226a8cfa6598042676bd87,cff3755e2d310efd0c4f584fcc4e3d1a66ad59e97c226a8cfa6598042676bd87,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000006,REAL_LOCATOR_BINDING_000006,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000003,CYS_SG_EXPANSION_EXEC_000003,1AU3,PCM,covale1,P6C_REAL_000006,ptnr1,auth,false,187,SG,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,e4607c28b7741c8495bb78efb9f20af0be4f66e69f04732f1cd2e5adcd257ed2,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000003:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000003:covale1:ptnr1,true,2605bd5a8b5dd94a6384a107b6c7d5bd80ab860daaa5ad4745df13e2c6c1b5de,2605bd5a8b5dd94a6384a107b6c7d5bd80ab860daaa5ad4745df13e2c6c1b5de,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000007,REAL_LOCATOR_BINDING_000007,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000004,CYS_SG_EXPANSION_EXEC_000004,1AU4,INP,covale1,P6C_REAL_000007,ptnr1,auth,false,187,SG,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,13d7897786967a7abe8f574bf6192c4828ec6ae8ecff64f0c0410ce5dd42d12c,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000004:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000004:covale1:ptnr1,true,7dcaf2c1eaa2ae04d4dec393f02ca8b60e550880cd94132f9c5ab56021a57ede,7dcaf2c1eaa2ae04d4dec393f02ca8b60e550880cd94132f9c5ab56021a57ede,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000008,REAL_LOCATOR_BINDING_000008,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000005,CYS_SG_EXPANSION_EXEC_000005,1AYU,INA,covale1,P6C_REAL_000008,ptnr1,auth,false,187,SG,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,7a50b94adc96bef4222da8e55e7cdb3e854cdd80015fcf76b3a54f4cbf6a2830,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000005:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000005:covale1:ptnr1,true,43ef059bd9853128abba71b809bb4df08556259b317a76a125faa9950de976c9,43ef059bd9853128abba71b809bb4df08556259b317a76a125faa9950de976c9,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000009,REAL_LOCATOR_BINDING_000009,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000006,CYS_SG_EXPANSION_EXEC_000006,1AYV,IN6,covale1,P6C_REAL_000009,ptnr1,auth,false,187,SG,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,2da1f39b0d86c6285b06dc226004136356a6d45dc32255ed74505836a305519e,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000006:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000006:covale1:ptnr1,true,1d8f89d938e7e1584612fa7bcd8e99db0285413629abafd39242f92756e451f2,1d8f89d938e7e1584612fa7bcd8e99db0285413629abafd39242f92756e451f2,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
P6D_INTEGRATION_EVIDENCE_000010,REAL_LOCATOR_BINDING_000010,independent_group_expansion_batch_sample_preparation_execution_smoke_v0,CYS_SG_EXPANSION_PREP_000007,CYS_SG_EXPANSION_EXEC_000007,1AYW,IN3,covale1,P6C_REAL_000010,ptnr1,auth,false,187,SG,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,e8402436f23cbccc6317342c5a2f0ffb01acb0ced0ed29df5f6029e9fabcb07d,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,unknown,,true,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000007:covale1:ptnr1,covapie:residue-locator:CYS_SG_EXPANSION_PREP_000007:covale1:ptnr1,true,16b9129c0446a9a27f4b4243a5fbd9732be574d9c89e7e9d75dd8e7d9d9154f7,16b9129c0446a9a27f4b4243a5fbd9732be574d9c89e7e9d75dd8e7d9d9154f7,true,true,integrated_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,true
