contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
P6D_C001,source,exact frozen source count,19,19,true,
P6D_C002,source,all source SHA256 exact,19,19,true,
P6D_C003,schema,P3 effective schema validated,true,true,true,
P6D_C004,schema,effective field rule context counts,22|15|18,22|15|18,true,
P6D_C005,target,P6-A target validated,true,true,true,
P6D_C006,target,exact target binding count,11,11,true,
P6D_C007,predecessor,P6-C direct predecessor validated,true,true,true,
P6D_C008,predecessor,P6-C sidecar and evidence counts,11|11,11|11,true,
P6D_C009,join,explicit keyed joins,11,11,true,
P6D_C010,join,secondary identity matches,11,11,true,
P6D_C011,provider,P4 provider provenance recomputations,11,11,true,
P6D_C012,provider,provider five-field matches,11,11,true,
P6D_C013,overlay,overlay exact shape,11x6,11x6,true,
P6D_C014,evidence,integration evidence passed,11,11,true,
P6D_C015,insertion,unknown plus empty schema-valid integrations,11,11,true,
P6D_C016,insertion,ADMIT_004 blocking overlay rows,11,11,true,
P6D_C017,boundary,candidate records materialized,false,false,true,
P6D_C018,boundary,admission records modified,false,false,true,
P6D_C019,boundary,real samples backfilled,0,0,true,
P6D_C020,readiness,ADMIT_004 and E1 ready,false|false,false|false,true,
P6D_C021,readiness,candidate and bulk download ready,false|false,false|false,true,
P6D_C022,readiness,training readiness,false|false,false|false,true,
