audit_order,audit_item,expected_state,observed_state,safety_passed
1,runtime_dispatcher_calls,0,0,true
2,network,false,false,true
3,provider,false,false,true
4,download,false,false,true
5,raw,false,false,true
6,torch_import,false,false,true
7,dataloader,false,false,true
8,checkpoint,false,false,true
9,model,false,false,true
10,forward,false,false,true
11,loss,false,false,true
12,backward,false,false,true
13,optimizer,false,false,true
14,scheduler,false,false,true
15,parameter_update,false,false,true
16,checkpoint_write,false,false,true
17,training_result,false,false,true
18,current_permission,false,false,true
19,authorized_execution_count,0,0,true
20,combined_candidate_verdict_implemented,false,false,true
21,cross_rule_aggregation_implemented,false,false,true
22,training_orchestrator_integration_implemented,false,false,true
23,feature_semantics_audit_completed,false,false,true
24,historical_unknown_atom_feature_policy_resolved,false,false,true
25,historical_feature_semantics_known,false,false,true
26,real_training_ready,false,false,true
27,ready_for_training,false,false,true
28,exact15_single_rule_runtime_modified,false,false,true
29,admit015_mandatory_guard_modified,false,false,true
30,actual_permission_mutation,false,false,true
