schema_field_name,schema_group,data_type,required_for_future_topology_smoke,residue_agnostic_schema,source_policy,validation_policy,training_use_status
ligand_topology_contract_id,sample_provenance,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
review_row_id,sample_provenance,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
pdb_id,sample_provenance,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_atom_table_source,sample_provenance,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_atom_id,observed_ligand_atoms,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_atom_name,observed_ligand_atoms,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_element,observed_ligand_atoms,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_formal_charge_planned,observed_ligand_atoms,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_bond_table_planned,observed_ligand_atoms,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ligand_bond_order_planned,observed_ligand_atoms,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
aromaticity_planned,observed_ligand_atoms,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
ring_membership_planned,observed_ligand_atoms,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
warhead_atom_group_planned,functional_groups,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
linker_atom_group_planned,functional_groups,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
scaffold_atom_group_planned,functional_groups,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
covalent_ligand_endpoint_atom_id,covalent_endpoints,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
covalent_residue_endpoint_atom_id,covalent_endpoints,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
manual_confirmed_residue_comp_id,covalent_endpoints,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
manual_confirmed_residue_atom_id,covalent_endpoints,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
reactive_residue_class,covalent_endpoints,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
residue_agnostic_schema,policy,bool,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
observed_topology_source_policy,policy,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
restoration_policy_link,policy,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
training_use_status,policy,string,True,True,step13j_ligand_table_and_step13l_pocket_context,design_contract_only_no_topology_table_written,not_training_input_yet
